1246	15844514211231253015.wav	في أواخر عام 2015، أنشأت "توجي نت" راديو "أسترو نت " كمحطة إذاعية تابعة.	في أواخر عام 2015، أنشأت توجي نت راديو أسترو نت  كمحطة إذاعية تابعة	ف ي | أ و ا خ ر | ع ا م | 2 0 1 5 ، | أ ن ش أ ت | ت و ج ي | ن ت | ر ا د ي و | أ س ت ر و | ن ت | ك م ح ط ة | إ ذ ا ع ي ة | ت ا ب ع ة |	135360	MALE
1160	6773983617703551565.wav	يمكن استغلال الأموال في تشيد منازل مقاومة للفيضانات، وإدارة المياه بشكل أفضل، وتنويع المحاصيل.	يمكن استغلال الأموال في تشيد منازل مقاومة للفيضانات وإدارة المياه بشكل أفضل وتنويع المحاصيل	ي م ك ن | ا س ت غ ل ا ل | ا ل أ م و ا ل | ف ي | ت ش ي د | م ن ا ز ل | م ق ا و م ة | ل ل ف ي ض ا ن ا ت | و إ د ا ر ة | ا ل م ي ا ه | ب ش ك ل | أ ف ض ل | و ت ن و ي ع | ا ل م ح ا ص ي ل |	111360	FEMALE
10	11539779590388928173.wav	طلبت الشرطة عند الساعة 11:20 من المحتجين العودة إلى الرصيف، مبينّة أنه يجب عليهم الموازنة بين الحق في التظاهر مع ازدياد الحركة المرورية.	طلبت الشرطة عند الساعة 11:20 من المحتجين العودة إلى الرصيف مبينّة أنه يجب عليهم الموازنة بين الحق في التظاهر مع ازدياد الحركة المرورية	ط ل ب ت | ا ل ش ر ط ة | ع ن د | ا ل س ا ع ة | 1 1 : 2 0 | م ن | ا ل م ح ت ج ي ن | ا ل ع و د ة | إ ل ى | ا ل ر ص ي ف | م ب ي ن ّ ة | أ ن ه | ي ج ب | ع ل ي ه م | ا ل م و ا ز ن ة | ب ي ن | ا ل ح ق | ف ي | ا ل ت ظ ا ه ر | م ع | ا ز د ي ا د | ا ل ح ر ك ة | ا ل م ر و ر ي ة |	182400	FEMALE
990	4112430823675174246.wav	الأنهار الجليدية ليست مستقرة، ولكنها تتدفق أسفل الجبل مما يؤدي إلى حدوث تشققات وصدوع عميقة قد تحجبها الجسور الجليدية.	الأنهار الجليدية ليست مستقرة ولكنها تتدفق أسفل الجبل مما يؤدي إلى حدوث تشققات وصدوع عميقة قد تحجبها الجسور الجليدية	ا ل أ ن ه ا ر | ا ل ج ل ي د ي ة | ل ي س ت | م س ت ق ر ة | و ل ك ن ه ا | ت ت د ف ق | أ س ف ل | ا ل ج ب ل | م م ا | ي ؤ د ي | إ ل ى | ح د و ث | ت ش ق ق ا ت | و ص د و ع | ع م ي ق ة | ق د | ت ح ج ب ه ا | ا ل ج س و ر | ا ل ج ل ي د ي ة |	168000	FEMALE
87	17031404951104284108.wav	ذكر بيتمان أن كمية وسمك حزمة الجليد هي أسوأ ما كانت عليه في السنوات الخمسة عشر الأخيرة بالنسبة لصائدي الفقم.	ذكر بيتمان أن كمية وسمك حزمة الجليد هي أسوأ ما كانت عليه في السنوات الخمسة عشر الأخيرة بالنسبة لصائدي الفقم	ذ ك ر | ب ي ت م ا ن | أ ن | ك م ي ة | و س م ك | ح ز م ة | ا ل ج ل ي د | ه ي | أ س و أ | م ا | ك ا ن ت | ع ل ي ه | ف ي | ا ل س ن و ا ت | ا ل خ م س ة | ع ش ر | ا ل أ خ ي ر ة | ب ا ل ن س ب ة | ل ص ا ئ د ي | ا ل ف ق م |	146880	FEMALE
575	10925373277550320268.wav	تبدأ المستعمرة في مرحلة الترحال عندما يقل الغذاء المتاح. خلال هذه المرحلة، تقوم المستعمرة بعمل أعشاش مؤقتة تتغير كل يوم.	تبدأ المستعمرة في مرحلة الترحال عندما يقل الغذاء المتاح خلال هذه المرحلة تقوم المستعمرة بعمل أعشاش مؤقتة تتغير كل يوم	ت ب د أ | ا ل م س ت ع م ر ة | ف ي | م ر ح ل ة | ا ل ت ر ح ا ل | ع ن د م ا | ي ق ل | ا ل غ ذ ا ء | ا ل م ت ا ح | خ ل ا ل | ه ذ ه | ا ل م ر ح ل ة | ت ق و م | ا ل م س ت ع م ر ة | ب ع م ل | أ ع ش ا ش | م ؤ ق ت ة | ت ت غ ي ر | ك ل | ي و م |	164160	FEMALE
1240	16914232135628793017.wav	نظراً لوجود استجابة محدودة لهذا التكتيك، توقعت ألمانيا رداً مشابهاً على حرب الغواصات غير المقيدة الخاصة بها.	نظراً لوجود استجابة محدودة لهذا التكتيك توقعت ألمانيا رداً مشابهاً على حرب الغواصات غير المقيدة الخاصة بها	ن ظ ر ا ً | ل و ج و د | ا س ت ج ا ب ة | م ح د و د ة | ل ه ذ ا | ا ل ت ك ت ي ك | ت و ق ع ت | أ ل م ا ن ي ا | ر د ا ً | م ش ا ب ه ا ً | ع ل ى | ح ر ب | ا ل غ و ا ص ا ت | غ ي ر | ا ل م ق ي د ة | ا ل خ ا ص ة | ب ه ا |	197760	FEMALE
1351	5113996697089009090.wav	وُجد كلٌ من حمض السيانريك والملامين في عينات البول من الحيوانات الأليفة التي ماتت بعد استهلاك طعام الحيوانات الأليفة الملوث.	وُجد كلٌ من حمض السيانريك والملامين في عينات البول من الحيوانات الأليفة التي ماتت بعد استهلاك طعام الحيوانات الأليفة الملوث	و ُ ج د | ك ل ٌ | م ن | ح م ض | ا ل س ي ا ن ر ي ك | و ا ل م ل ا م ي ن | ف ي | ع ي ن ا ت | ا ل ب و ل | م ن | ا ل ح ي و ا ن ا ت | ا ل أ ل ي ف ة | ا ل ت ي | م ا ت ت | ب ع د | ا س ت ه ل ا ك | ط ع ا م | ا ل ح ي و ا ن ا ت | ا ل أ ل ي ف ة | ا ل م ل و ث |	182400	MALE
481	18272107111800207810.wav	في الأكورديون، للحصول على صوت أعلى إضافي، يمكنك استخدام المنفاخ بمزيد من الضغط أو السرعة.	في الأكورديون للحصول على صوت أعلى إضافي يمكنك استخدام المنفاخ بمزيد من الضغط أو السرعة	ف ي | ا ل أ ك و ر د ي و ن | ل ل ح ص و ل | ع ل ى | ص و ت | أ ع ل ى | إ ض ا ف ي | ي م ك ن ك | ا س ت خ د ا م | ا ل م ن ف ا خ | ب م ز ي د | م ن | ا ل ض غ ط | أ و | ا ل س ر ع ة |	137280	FEMALE
1132	2579471114500404587.wav	ثقافة العمل اليابانية أكثر هرمية ورسمية مما اعتاد عليه الغربيون.	ثقافة العمل اليابانية أكثر هرمية ورسمية مما اعتاد عليه الغربيون	ث ق ا ف ة | ا ل ع م ل | ا ل ي ا ب ا ن ي ة | أ ك ث ر | ه ر م ي ة | و ر س م ي ة | م م ا | ا ع ت ا د | ع ل ي ه | ا ل غ ر ب ي و ن |	96000	FEMALE
992	17071039256149856172.wav	تنفصل كتل ضخمة عند حواف الأنهار الجليدية فتسقط أو ربما تقفز أو تتدحرج بعيدًا عن الحافة.	تنفصل كتل ضخمة عند حواف الأنهار الجليدية فتسقط أو ربما تقفز أو تتدحرج بعيدًا عن الحافة	ت ن ف ص ل | ك ت ل | ض خ م ة | ع ن د | ح و ا ف | ا ل أ ن ه ا ر | ا ل ج ل ي د ي ة | ف ت س ق ط | أ و | ر ب م ا | ت ق ف ز | أ و | ت ت د ح ر ج | ب ع ي د ً ا | ع ن | ا ل ح ا ف ة |	124800	FEMALE
266	16197955146324726490.wav	أفاد تشياو وشاريبوف بأنهما على بعد مسافةٍ آمنةٍ من دافعات تعديل الوضعية.	أفاد تشياو وشاريبوف بأنهما على بعد مسافةٍ آمنةٍ من دافعات تعديل الوضعية	أ ف ا د | ت ش ي ا و | و ش ا ر ي ب و ف | ب أ ن ه م ا | ع ل ى | ب ع د | م س ا ف ة ٍ | آ م ن ة ٍ | م ن | د ا ف ع ا ت | ت ع د ي ل | ا ل و ض ع ي ة |	158400	FEMALE
482	1969833411530314747.wav	التصوّف هو السعي إلى التداخل مع، أو التماهي مع، أو الوعي الإدراكي بواقع أو ألوهة أو حقيقة روحانيّة أو إله مطلق.	التصوّف هو السعي إلى التداخل مع أو التماهي مع أو الوعي الإدراكي بواقع أو ألوهة أو حقيقة روحانيّة أو إله مطلق	ا ل ت ص و ّ ف | ه و | ا ل س ع ي | إ ل ى | ا ل ت د ا خ ل | م ع | أ و | ا ل ت م ا ه ي | م ع | أ و | ا ل و ع ي | ا ل إ د ر ا ك ي | ب و ا ق ع | أ و | أ ل و ه ة | أ و | ح ق ي ق ة | ر و ح ا ن ي ّ ة | أ و | إ ل ه | م ط ل ق |	183360	FEMALE
511	664366770277065036.wav	إن الأطفال المصابين باضطراب نقص الانتباه يواجهون صعوبةً في التركيز على أشياءٍ مثل الواجبات المدرسية، لكن يمكنهم التركيز على الأشياء التي يستمتعون القيام بها مثل اللعب أو مشاهدة الرسوم المتحركة المفضلة لديهم أو كتابة الجمل من دون علامات ترقيم.	إن الأطفال المصابين باضطراب نقص الانتباه يواجهون صعوبةً في التركيز على أشياءٍ مثل الواجبات المدرسية لكن يمكنهم التركيز على الأشياء التي يستمتعون القيام بها مثل اللعب أو مشاهدة الرسوم المتحركة المفضلة لديهم أو كتابة الجمل من دون علامات ترقيم	إ ن | ا ل أ ط ف ا ل | ا ل م ص ا ب ي ن | ب ا ض ط ر ا ب | ن ق ص | ا ل ا ن ت ب ا ه | ي و ا ج ه و ن | ص ع و ب ة ً | ف ي | ا ل ت ر ك ي ز | ع ل ى | أ ش ي ا ء ٍ | م ث ل | ا ل و ا ج ب ا ت | ا ل م د ر س ي ة | ل ك ن | ي م ك ن ه م | ا ل ت ر ك ي ز | ع ل ى | ا ل أ ش ي ا ء | ا ل ت ي | ي س ت م ت ع و ن | ا ل ق ي ا م | ب ه ا | م ث ل | ا ل ل ع ب | أ و | م ش ا ه د ة | ا ل ر س و م | ا ل م ت ح ر ك ة | ا ل م ف ض ل ة | ل د ي ه م | أ و | ك ت ا ب ة | ا ل ج م ل | م ن | د و ن | ع ل ا م ا ت | ت ر ق ي م |	295680	MALE
279	8673922500415649892.wav	حل نيوت جينجريتش، رئيس مجلس النواب الأمريكي السابق، في المرتبة الثانية بنسبة 32%.	حل نيوت جينجريتش رئيس مجلس النواب الأمريكي السابق في المرتبة الثانية بنسبة 32%	ح ل | ن ي و ت | ج ي ن ج ر ي ت ش | ر ئ ي س | م ج ل س | ا ل ن و ا ب | ا ل أ م ر ي ك ي | ا ل س ا ب ق | ف ي | ا ل م ر ت ب ة | ا ل ث ا ن ي ة | ب ن س ب ة | 3 2 % |	170880	FEMALE
1112	9683811298387094535.wav	وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة، دون تواجد أنصار الفريق.	وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة دون تواجد أنصار الفريق	و أ ث ا ر ت | م خ ا و ف | ن ق ص | و س ا ئ ل | ا ل ت ن ق ل | إ ل ى | ا ح ت م ا ل ي ة | ت و ج ب | إ ق ا م ة | ا ل م ب ا ر ا ة | خ ل ف | أ ب و ا ب | م غ ل ق ة | د و ن | ت و ا ج د | أ ن ص ا ر | ا ل ف ر ي ق |	177600	MALE
1199	1259927008676141277.wav	غالباً ما يعمل أعضاء الفريق الافتراضي كنقطة اتصال لمجموعاتهم المادية الفورية.	غالباً ما يعمل أعضاء الفريق الافتراضي كنقطة اتصال لمجموعاتهم المادية الفورية	غ ا ل ب ا ً | م ا | ي ع م ل | أ ع ض ا ء | ا ل ف ر ي ق | ا ل ا ف ت ر ا ض ي | ك ن ق ط ة | ا ت ص ا ل | ل م ج م و ع ا ت ه م | ا ل م ا د ي ة | ا ل ف و ر ي ة |	148800	FEMALE
199	11771936723728016427.wav	بصرف النظر عن الحمى والتهاب الحلق، أشعر أنني بحالة جيدة وفي حالة جيدة للقيام بعملي من خلال العمل عن بعد.	بصرف النظر عن الحمى والتهاب الحلق أشعر أنني بحالة جيدة وفي حالة جيدة للقيام بعملي من خلال العمل عن بعد	ب ص ر ف | ا ل ن ظ ر | ع ن | ا ل ح م ى | و ا ل ت ه ا ب | ا ل ح ل ق | أ ش ع ر | أ ن ن ي | ب ح ا ل ة | ج ي د ة | و ف ي | ح ا ل ة | ج ي د ة | ل ل ق ي ا م | ب ع م ل ي | م ن | خ ل ا ل | ا ل ع م ل | ع ن | ب ع د |	182400	FEMALE
465	9658637082759805107.wav	ألهمت القلعة التقليدية من العصور الوسطى الخيال منذ فترة طويلة، مكونةً صوراً للمبارزات، والولائم، وفروسية الملك آرثر.	ألهمت القلعة التقليدية من العصور الوسطى الخيال منذ فترة طويلة مكونةً صوراً للمبارزات والولائم وفروسية الملك آرثر	أ ل ه م ت | ا ل ق ل ع ة | ا ل ت ق ل ي د ي ة | م ن | ا ل ع ص و ر | ا ل و س ط ى | ا ل خ ي ا ل | م ن ذ | ف ت ر ة | ط و ي ل ة | م ك و ن ة ً | ص و ر ا ً | ل ل م ب ا ر ز ا ت | و ا ل و ل ا ئ م | و ف ر و س ي ة | ا ل م ل ك | آ ر ث ر |	161280	FEMALE
467	14855799864754492594.wav	لكن هل مخيلتنا مبنية على الواقع؟ لماذا بُنِيَت القلاع في الأصل؟ كيف تم تصميمها وبناؤها؟	لكن هل مخيلتنا مبنية على الواقع لماذا بُنِيَت القلاع في الأصل كيف تم تصميمها وبناؤها	ل ك ن | ه ل | م خ ي ل ت ن ا | م ب ن ي ة | ع ل ى | ا ل و ا ق ع | ل م ا ذ ا | ب ُ ن ِ ي َ ت | ا ل ق ل ا ع | ف ي | ا ل أ ص ل | ك ي ف | ت م | ت ص م ي م ه ا | و ب ن ا ؤ ه ا |	168960	MALE
806	4434380578410012365.wav	خذ بعين الاعتبار هنا مسألة الحصول على فحص العين في البيت، وخاصةً إذا كان التأمين يغطي هذا الفحص، وتقديم الوصفة الطبية في مكان آخر.	خذ بعين الاعتبار هنا مسألة الحصول على فحص العين في البيت وخاصةً إذا كان التأمين يغطي هذا الفحص وتقديم الوصفة الطبية في مكان آخر	خ ذ | ب ع ي ن | ا ل ا ع ت ب ا ر | ه ن ا | م س أ ل ة | ا ل ح ص و ل | ع ل ى | ف ح ص | ا ل ع ي ن | ف ي | ا ل ب ي ت | و خ ا ص ة ً | إ ذ ا | ك ا ن | ا ل ت أ م ي ن | ي غ ط ي | ه ذ ا | ا ل ف ح ص | و ت ق د ي م | ا ل و ص ف ة | ا ل ط ب ي ة | ف ي | م ك ا ن | آ خ ر |	190080	MALE
51	16115345038441995183.wav	في الأشهر الثلاثة الماضية، أطلق سراح أكثر من 80 معتقلاً من منشأة سنترال بوكنج دون توجيه تهم رسمية إليهم.	في الأشهر الثلاثة الماضية أطلق سراح أكثر من 80 معتقلاً من منشأة سنترال بوكنج دون توجيه تهم رسمية إليهم	ف ي | ا ل أ ش ه ر | ا ل ث ل ا ث ة | ا ل م ا ض ي ة | أ ط ل ق | س ر ا ح | أ ك ث ر | م ن | 8 0 | م ع ت ق ل ا ً | م ن | م ن ش أ ة | س ن ت ر ا ل | ب و ك ن ج | د و ن | ت و ج ي ه | ت ه م | ر س م ي ة | إ ل ي ه م |	135360	FEMALE
294	2372212490782307686.wav	أظهرت الغيوم إمكانية حدوث ارتباك حول ما إذا كان قد حدث ثوران فعلي.	أظهرت الغيوم إمكانية حدوث ارتباك حول ما إذا كان قد حدث ثوران فعلي	أ ظ ه ر ت | ا ل غ ي و م | إ م ك ا ن ي ة | ح د و ث | ا ر ت ب ا ك | ح و ل | م ا | إ ذ ا | ك ا ن | ق د | ح د ث | ث و ر ا ن | ف ع ل ي |	113280	FEMALE
447	9886784572714596460.wav	في بداية استقلال البلاد، ساعدت خبرة حدائق سنغافورة النباتية في تحويل الجزيرة إلى مدينة من الحدائق الاستوائية.	في بداية استقلال البلاد ساعدت خبرة حدائق سنغافورة النباتية في تحويل الجزيرة إلى مدينة من الحدائق الاستوائية	ف ي | ب د ا ي ة | ا س ت ق ل ا ل | ا ل ب ل ا د | س ا ع د ت | خ ب ر ة | ح د ا ئ ق | س ن غ ا ف و ر ة | ا ل ن ب ا ت ي ة | ف ي | ت ح و ي ل | ا ل ج ز ي ر ة | إ ل ى | م د ي ن ة | م ن | ا ل ح د ا ئ ق | ا ل ا س ت و ا ئ ي ة |	140160	FEMALE
980	7461463225106471633.wav	قد تكون هذه خطيرة إذا سعى المسافر وراء السراب، وأهدر الطاقة الثمينة والمياه المتبقية.	قد تكون هذه خطيرة إذا سعى المسافر وراء السراب وأهدر الطاقة الثمينة والمياه المتبقية	ق د | ت ك و ن | ه ذ ه | خ ط ي ر ة | إ ذ ا | س ع ى | ا ل م س ا ف ر | و ر ا ء | ا ل س ر ا ب | و أ ه د ر | ا ل ط ا ق ة | ا ل ث م ي ن ة | و ا ل م ي ا ه | ا ل م ت ب ق ي ة |	124800	FEMALE
215	17940136566205748836.wav	من المقرر أن يعود كل من الجولف والرجبي إلى الألعاب الأولمبية.	من المقرر أن يعود كل من الجولف والرجبي إلى الألعاب الأولمبية	م ن | ا ل م ق ر ر | أ ن | ي ع و د | ك ل | م ن | ا ل ج و ل ف | و ا ل ر ج ب ي | إ ل ى | ا ل أ ل ع ا ب | ا ل أ و ل م ب ي ة |	93120	FEMALE
1361	8686098824733228604.wav	ويمكن سحبه إلى سلكٍ رفيعٍ يمكن لفّه وتجديله. يمكن أن يتم طرقه أو لفه على شكل أوراق.	ويمكن سحبه إلى سلكٍ رفيعٍ يمكن لفّه وتجديله يمكن أن يتم طرقه أو لفه على شكل أوراق	و ي م ك ن | س ح ب ه | إ ل ى | س ل ك ٍ | ر ف ي ع ٍ | ي م ك ن | ل ف ّ ه | و ت ج د ي ل ه | ي م ك ن | أ ن | ي ت م | ط ر ق ه | أ و | ل ف ه | ع ل ى | ش ك ل | أ و ر ا ق |	130560	FEMALE
670	8604995676293437140.wav	يتطلب أي مخيم أسفل الحافة في غراند كانيون تصريحاً للتخييم الليلي.	يتطلب أي مخيم أسفل الحافة في غراند كانيون تصريحاً للتخييم الليلي	ي ت ط ل ب | أ ي | م خ ي م | أ س ف ل | ا ل ح ا ف ة | ف ي | غ ر ا ن د | ك ا ن ي و ن | ت ص ر ي ح ا ً | ل ل ت خ ي ي م | ا ل ل ي ل ي |	112320	FEMALE
1104	16598665291587034909.wav	كانت الماعز الداجنة تُربى عموماً في قطعان تجولت على التلال أو مناطق الرعي الأخرى، وغالباً ما تُرعى بواسطة رعاة الماعز الذين كانوا في الغالب أطفالاً أو مراهقين، على غرار الراعي المعروف على نطاق واسع. ولا تزال طرق الرعي هذه مستخدمة حتى اليوم.	كانت الماعز الداجنة تُربى عموماً في قطعان تجولت على التلال أو مناطق الرعي الأخرى وغالباً ما تُرعى بواسطة رعاة الماعز الذين كانوا في الغالب أطفالاً أو مراهقين على غرار الراعي المعروف على نطاق واسع ولا تزال طرق الرعي هذه مستخدمة حتى اليوم	ك ا ن ت | ا ل م ا ع ز | ا ل د ا ج ن ة | ت ُ ر ب ى | ع م و م ا ً | ف ي | ق ط ع ا ن | ت ج و ل ت | ع ل ى | ا ل ت ل ا ل | أ و | م ن ا ط ق | ا ل ر ع ي | ا ل أ خ ر ى | و غ ا ل ب ا ً | م ا | ت ُ ر ع ى | ب و ا س ط ة | ر ع ا ة | ا ل م ا ع ز | ا ل ذ ي ن | ك ا ن و ا | ف ي | ا ل غ ا ل ب | أ ط ف ا ل ا ً | أ و | م ر ا ه ق ي ن | ع ل ى | غ ر ا ر | ا ل ر ا ع ي | ا ل م ع ر و ف | ع ل ى | ن ط ا ق | و ا س ع | و ل ا | ت ز ا ل | ط ر ق | ا ل ر ع ي | ه ذ ه | م س ت خ د م ة | ح ت ى | ا ل ي و م |	316800	MALE
905	10704290092100070412.wav	تبدأ كممرات تهبط من غيوم العاصفة، وتصبح "أعاصيرًا" عندما تلمس الأرض.	تبدأ كممرات تهبط من غيوم العاصفة وتصبح أعاصيرًا عندما تلمس الأرض	ت ب د أ | ك م م ر ا ت | ت ه ب ط | م ن | غ ي و م | ا ل ع ا ص ف ة | و ت ص ب ح | أ ع ا ص ي ر ً ا | ع ن د م ا | ت ل م س | ا ل أ ر ض |	97920	FEMALE
705	988632529497178514.wav	ومع ذلك، لا ينبغي أن يكون هذا خارج شواغلك، لأنه غالباً ما يتم تغيير أماكن السياح لملء السيارات.	ومع ذلك لا ينبغي أن يكون هذا خارج شواغلك لأنه غالباً ما يتم تغيير أماكن السياح لملء السيارات	و م ع | ذ ل ك | ل ا | ي ن ب غ ي | أ ن | ي ك و ن | ه ذ ا | خ ا ر ج | ش و ا غ ل ك | ل أ ن ه | غ ا ل ب ا ً | م ا | ي ت م | ت غ ي ي ر | أ م ا ك ن | ا ل س ي ا ح | ل م ل ء | ا ل س ي ا ر ا ت |	162240	FEMALE
1471	3910616448626866462.wav	يقع حاليًا الجناح التاسع والذي شهد فيضاناً يصل ارتفاعه إلى 20 قدماً خلال إعصار كاترينا، في ارتفاع لمنسوب المياه حيث غمرت السد القريب.	يقع حاليًا الجناح التاسع والذي شهد فيضاناً يصل ارتفاعه إلى 20 قدماً خلال إعصار كاترينا في ارتفاع لمنسوب المياه حيث غمرت السد القريب	ي ق ع | ح ا ل ي ً ا | ا ل ج ن ا ح | ا ل ت ا س ع | و ا ل ذ ي | ش ه د | ف ي ض ا ن ا ً | ي ص ل | ا ر ت ف ا ع ه | إ ل ى | 2 0 | ق د م ا ً | خ ل ا ل | إ ع ص ا ر | ك ا ت ر ي ن ا | ف ي | ا ر ت ف ا ع | ل م ن س و ب | ا ل م ي ا ه | ح ي ث | غ م ر ت | ا ل س د | ا ل ق ر ي ب |	197760	MALE
296	6415717606172839818.wav	أنقذت المروحيات أفرد الطاقم الاثني عشر وكانت الإصابة الوحيدة أنفًا مكسورًا.	أنقذت المروحيات أفرد الطاقم الاثني عشر وكانت الإصابة الوحيدة أنفًا مكسورًا	أ ن ق ذ ت | ا ل م ر و ح ي ا ت | أ ف ر د | ا ل ط ا ق م | ا ل ا ث ن ي | ع ش ر | و ك ا ن ت | ا ل إ ص ا ب ة | ا ل و ح ي د ة | أ ن ف ً ا | م ك س و ر ً ا |	113280	FEMALE
810	7985409178117010708.wav	رياضة الأودية (التجديف) هي عبارة عن الذهاب إلى قاع واد يكون إما جافاً أو مليئاً بالمياه.	رياضة الأودية التجديف هي عبارة عن الذهاب إلى قاع واد يكون إما جافاً أو مليئاً بالمياه	ر ي ا ض ة | ا ل أ و د ي ة | ا ل ت ج د ي ف | ه ي | ع ب ا ر ة | ع ن | ا ل ذ ه ا ب | إ ل ى | ق ا ع | و ا د | ي ك و ن | إ م ا | ج ا ف ا ً | أ و | م ل ي ئ ا ً | ب ا ل م ي ا ه |	161280	FEMALE
1141	4767274861395604125.wav	وقال نائب المفتش العام دي. كي. أريا، "اعتقلنا خمسة أشخاص اغتصبوا المرأة السويسرية واستعدنا هاتفها المحمول والكمبيوتر المحمول".	وقال نائب المفتش العام دي كي أريا اعتقلنا خمسة أشخاص اغتصبوا المرأة السويسرية واستعدنا هاتفها المحمول والكمبيوتر المحمول	و ق ا ل | ن ا ئ ب | ا ل م ف ت ش | ا ل ع ا م | د ي | ك ي | أ ر ي ا | ا ع ت ق ل ن ا | خ م س ة | أ ش خ ا ص | ا غ ت ص ب و ا | ا ل م ر أ ة | ا ل س و ي س ر ي ة | و ا س ت ع د ن ا | ه ا ت ف ه ا | ا ل م ح م و ل | و ا ل ك م ب ي و ت ر | ا ل م ح م و ل |	209280	FEMALE
1330	17675523280764734876.wav	أعرب آدم كويردين، مدير مجلس العموم، عن إحباطه من عمليات الشطب عندما تحدث إلى ويكي نيوز الشهر الماضي.	أعرب آدم كويردين مدير مجلس العموم عن إحباطه من عمليات الشطب عندما تحدث إلى ويكي نيوز الشهر الماضي	أ ع ر ب | آ د م | ك و ي ر د ي ن | م د ي ر | م ج ل س | ا ل ع م و م | ع ن | إ ح ب ا ط ه | م ن | ع م ل ي ا ت | ا ل ش ط ب | ع ن د م ا | ت ح د ث | إ ل ى | و ي ك ي | ن ي و ز | ا ل ش ه ر | ا ل م ا ض ي |	152640	FEMALE
30	16283754594598891556.wav	اشتعلت النيران في سجن أبو غريب بالعراق أثناء أحداث شغب.	اشتعلت النيران في سجن أبو غريب بالعراق أثناء أحداث شغب	ا ش ت ع ل ت | ا ل ن ي ر ا ن | ف ي | س ج ن | أ ب و | غ ر ي ب | ب ا ل ع ر ا ق | أ ث ن ا ء | أ ح د ا ث | ش غ ب |	86400	FEMALE
941	14743394827191965001.wav	أسهل طريقة للبدء في مجال كتابات السفر هي شحذ المهارات على موقع إلكتروني معتمد للمدوّنات السفريّة.	أسهل طريقة للبدء في مجال كتابات السفر هي شحذ المهارات على موقع إلكتروني معتمد للمدوّنات السفريّة	أ س ه ل | ط ر ي ق ة | ل ل ب د ء | ف ي | م ج ا ل | ك ت ا ب ا ت | ا ل س ف ر | ه ي | ش ح ذ | ا ل م ه ا ر ا ت | ع ل ى | م و ق ع | إ ل ك ت ر و ن ي | م ع ت م د | ل ل م د و ّ ن ا ت | ا ل س ف ر ي ّ ة |	188160	FEMALE
1365	4840357259477349557.wav	على سبيل المثال، لم يكن لديهم ذرة، أو طماطم، أو بطاطس، أو كاكاو ولم يتذوق أي من الرومان القدامى الديك الرومي.	على سبيل المثال لم يكن لديهم ذرة أو طماطم أو بطاطس أو كاكاو ولم يتذوق أي من الرومان القدامى الديك الرومي	ع ل ى | س ب ي ل | ا ل م ث ا ل | ل م | ي ك ن | ل د ي ه م | ذ ر ة | أ و | ط م ا ط م | أ و | ب ط ا ط س | أ و | ك ا ك ا و | و ل م | ي ت ذ و ق | أ ي | م ن | ا ل ر و م ا ن | ا ل ق د ا م ى | ا ل د ي ك | ا ل ر و م ي |	144000	MALE
1477	602952264992874411.wav	إنه من الواضح بشكل كاف أن العالم تغير كثيراً بسبب التقدم العلمي والتقنية للبشرية، وأصبحت المشاكل أكبر بسبب زيادة السكاني ونمط الحياة المترف للإنسان.	إنه من الواضح بشكل كاف أن العالم تغير كثيراً بسبب التقدم العلمي والتقنية للبشرية وأصبحت المشاكل أكبر بسبب زيادة السكاني ونمط الحياة المترف للإنسان	إ ن ه | م ن | ا ل و ا ض ح | ب ش ك ل | ك ا ف | أ ن | ا ل ع ا ل م | ت غ ي ر | ك ث ي ر ا ً | ب س ب ب | ا ل ت ق د م | ا ل ع ل م ي | و ا ل ت ق ن ي ة | ل ل ب ش ر ي ة | و أ ص ب ح ت | ا ل م ش ا ك ل | أ ك ب ر | ب س ب ب | ز ي ا د ة | ا ل س ك ا ن ي | و ن م ط | ا ل ح ي ا ة | ا ل م ت ر ف | ل ل إ ن س ا ن |	203520	FEMALE
575	5857041818756558440.wav	تبدأ المستعمرة في مرحلة الترحال عندما يقل الغذاء المتاح. خلال هذه المرحلة، تقوم المستعمرة بعمل أعشاش مؤقتة تتغير كل يوم.	تبدأ المستعمرة في مرحلة الترحال عندما يقل الغذاء المتاح خلال هذه المرحلة تقوم المستعمرة بعمل أعشاش مؤقتة تتغير كل يوم	ت ب د أ | ا ل م س ت ع م ر ة | ف ي | م ر ح ل ة | ا ل ت ر ح ا ل | ع ن د م ا | ي ق ل | ا ل غ ذ ا ء | ا ل م ت ا ح | خ ل ا ل | ه ذ ه | ا ل م ر ح ل ة | ت ق و م | ا ل م س ت ع م ر ة | ب ع م ل | أ ع ش ا ش | م ؤ ق ت ة | ت ت غ ي ر | ك ل | ي و م |	209280	FEMALE
