1039	303579745687635629.wav	Այն ինչ ես ասում եմ մարդկանց սա է՝ վերաբերվեք մեզ այնպես, ինչպես մենք ենք ձեզ վերաբերվում։	այն ինչ ես ասում եմ մարդկանց սա է վերաբերվեք մեզ այնպես ինչպես մենք ենք ձեզ վերաբերվում	ա յ ն | ի ն չ | ե ս | ա ս ո ւ մ | ե մ | մ ա ր դ կ ա ն ց | ս ա | է | վ ե ր ա բ ե ր վ ե ք | մ ե զ | ա յ ն պ ե ս | ի ն չ պ ե ս | մ ե ն ք | ե ն ք | ձ ե զ | վ ե ր ա բ ե ր վ ո ւ մ |	139200	MALE
449	9648811235373279800.wav	Ամեն տարի հոկտեմբերին մոտ գրեթե 1.5 միլիոն խոտակեր կենդանի գալիս է հարավային հարթավայրեր՝ հյուսիսային բլուրներից հատելով Մառա գետն անձրևների համար։	ամեն տարի հոկտեմբերին մոտ գրեթե 1.5 միլիոն խոտակեր կենդանի գալիս է հարավային հարթավայրեր հյուսիսային բլուրներից հատելով մառա գետն անձրևների համար	ա մ ե ն | տ ա ր ի | հ ո կ տ ե մ բ ե ր ի ն | մ ո տ | գ ր ե թ ե | 1 . 5 | մ ի լ ի ո ն | խ ո տ ա կ ե ր | կ ե ն դ ա ն ի | գ ա լ ի ս | է | հ ա ր ա վ ա յ ի ն | հ ա ր թ ա վ ա յ ր ե ր | հ յ ո ւ ս ի ս ա յ ի ն | բ լ ո ւ ր ն ե ր ի ց | հ ա տ ե լ ո վ | մ ա ռ ա | գ ե տ ն | ա ն ձ ր և ն ե ր ի | հ ա մ ա ր |	237120	MALE
1278	12017898491502895884.wav	Տաճարականներին հասկանալու համար՝ անձը պետք է հասկանա այն կոնտեքստը, որը նպաստել է այդ կարգի ստեղծմանը:	տաճարականներին հասկանալու համար անձը պետք է հասկանա այն կոնտեքստը որը նպաստել է այդ կարգի ստեղծմանը	տ ա ճ ա ր ա կ ա ն ն ե ր ի ն | հ ա ս կ ա ն ա լ ո ւ | հ ա մ ա ր | ա ն ձ ը | պ ե տ ք | է | հ ա ս կ ա ն ա | ա յ ն | կ ո ն տ ե ք ս տ ը | ո ր ը | ն պ ա ս տ ե լ | է | ա յ դ | կ ա ր գ ի | ս տ ե ղ ծ մ ա ն ը |	187200	FEMALE
1070	13237300390284006585.wav	Այնուամենայնիվ քերականության այս տարրական դասագիրքը կարդալը կօգնի ձեզ շատ բան սովորելու պարսկերենի քերականության մասին և ավելի լավ հասկանալու արտահայտությունները:	այնուամենայնիվ քերականության այս տարրական դասագիրքը կարդալը կօգնի ձեզ շատ բան սովորելու պարսկերենի քերականության մասին և ավելի լավ հասկանալու արտահայտությունները	ա յ ն ո ւ ա մ ե ն ա յ ն ի վ | ք ե ր ա կ ա ն ո ւ թ յ ա ն | ա յ ս | տ ա ր ր ա կ ա ն | դ ա ս ա գ ի ր ք ը | կ ա ր դ ա լ ը | կ օ գ ն ի | ձ ե զ | շ ա տ | բ ա ն | ս ո վ ո ր ե լ ո ւ | պ ա ր ս կ ե ր ե ն ի | ք ե ր ա կ ա ն ո ւ թ յ ա ն | մ ա ս ի ն | և | ա վ ե լ ի | լ ա վ | հ ա ս կ ա ն ա լ ո ւ | ա ր տ ա հ ա յ տ ո ւ թ յ ո ւ ն ն ե ր ը |	180480	FEMALE
361	12081481628854520972.wav	Հաջորդ նկարը ցույց է տալիս, թե ինչպես են ատոմներն արտանետում ֆոտոնները: Անշուշտ, իրականում ֆոտոնները շատ ավելի փոքր են, քան պատկերված են նկարում:	հաջորդ նկարը ցույց է տալիս թե ինչպես են ատոմներն արտանետում ֆոտոնները անշուշտ իրականում ֆոտոնները շատ ավելի փոքր են քան պատկերված են նկարում	հ ա ջ ո ր դ | ն կ ա ր ը | ց ո ւ յ ց | է | տ ա լ ի ս | թ ե | ի ն չ պ ե ս | ե ն | ա տ ո մ ն ե ր ն | ա ր տ ա ն ե տ ո ւ մ | ֆ ո տ ո ն ն ե ր ը | ա ն շ ո ւ շ տ | ի ր ա կ ա ն ո ւ մ | ֆ ո տ ո ն ն ե ր ը | շ ա տ | ա վ ե լ ի | փ ո ք ր | ե ն | ք ա ն | պ ա տ կ ե ր վ ա ծ | ե ն | ն կ ա ր ո ւ մ |	119040	FEMALE
177	10507289688110679375.wav	2009 թվականին նրան տրվեց Տարվա ազգային ղեկավարի տիտղոսը։	2009 թվականին նրան տրվեց տարվա ազգային ղեկավարի տիտղոսը	2 0 0 9 | թ վ ա կ ա ն ի ն | ն ր ա ն | տ ր վ ե ց | տ ա ր վ ա | ա զ գ ա յ ի ն | ղ ե կ ա վ ա ր ի | տ ի տ ղ ո ս ը |	163200	FEMALE
656	10480111673750200052.wav	Ցուրտ եղանակը գուցե միակ իրական վտանգն է, որին անպատրաստ մարդը կարող է առերեսվել։	ցուրտ եղանակը գուցե միակ իրական վտանգն է որին անպատրաստ մարդը կարող է առերեսվել	ց ո ւ ր տ | ե ղ ա ն ա կ ը | գ ո ւ ց ե | մ ի ա կ | ի ր ա կ ա ն | վ տ ա ն գ ն | է | ո ր ի ն | ա ն պ ա տ ր ա ս տ | մ ա ր դ ը | կ ա ր ո ղ | է | ա ռ ե ր ե ս վ ե լ |	89280	FEMALE
1140	9163849887727169611.wav	Իհարկե, ֆիլիպինցի ժողովրդի երկարատև շահագործումից ստացված գերշահույթները կկազմեին ԱՄՆ-ի իմպերիալիզմի հիմնական ձեռքբերումները:	իհարկե ֆիլիպինցի ժողովրդի երկարատև շահագործումից ստացված գերշահույթները կկազմեին ամն-ի իմպերիալիզմի հիմնական ձեռքբերումները	ի հ ա ր կ ե | ֆ ի լ ի պ ի ն ց ի | ժ ո ղ ո վ ր դ ի | ե ր կ ա ր ա տ և | շ ա հ ա գ ո ր ծ ո ւ մ ի ց | ս տ ա ց վ ա ծ | գ ե ր շ ա հ ո ւ յ թ ն ե ր ը | կ կ ա զ մ ե ի ն | ա մ ն - ի | ի մ պ ե ր ի ա լ ի զ մ ի | հ ի մ ն ա կ ա ն | ձ ե ռ ք բ ե ր ո ւ մ ն ե ր ը |	174720	FEMALE
594	746260253991550740.wav	Միայն կենդանիներն ունեն ուղեղ (չնայած նույնիսկ ոչ բոլոր կենդանիները, օրինակ` մեդուզան չունի ուղեղ):	միայն կենդանիներն ունեն ուղեղ չնայած նույնիսկ ոչ բոլոր կենդանիները օրինակ` մեդուզան չունի ուղեղ:	մ ի ա յ ն | կ ե ն դ ա ն ի ն ե ր ն | ո ւ ն ե ն | ո ւ ղ ե ղ | չ ն ա յ ա ծ | ն ո ւ յ ն ի ս կ | ո չ | բ ո լ ո ր | կ ե ն դ ա ն ի ն ե ր ը | օ ր ի ն ա կ ` | մ ե դ ո ւ զ ա ն | չ ո ւ ն ի | ո ւ ղ ե ղ : |	192960	MALE
1457	1442339827815394232.wav	Խաղերը մեկնարկեցին առավոտյան 10:00-ին սքանչելի եղանակով, և բացի առավոտյան մաղող անձրևից, որն արագ կտրվեց, այն իդեալական օր էր ռեգբի 7-ի համար:	խաղերը մեկնարկեցին առավոտյան 10:00-ին սքանչելի եղանակով և բացի առավոտյան մաղող անձրևից որն արագ կտրվեց այն իդեալական օր էր ռեգբի 7-ի համար:	խ ա ղ ե ր ը | մ ե կ ն ա ր կ ե ց ի ն | ա ռ ա վ ո տ յ ա ն | 1 0 : 0 0 - ի ն | ս ք ա ն չ ե լ ի | ե ղ ա ն ա կ ո վ | և | բ ա ց ի | ա ռ ա վ ո տ յ ա ն | մ ա ղ ո ղ | ա ն ձ ր և ի ց | ո ր ն | ա ր ա գ | կ տ ր վ ե ց | ա յ ն | ի դ ե ա լ ա կ ա ն | օ ր | է ր | ռ ե գ բ ի | 7 - ի | հ ա մ ա ր : |	274560	FEMALE
446	29205283761073197.wav	Վենեսուելայի համար կարևոր արդյունաբերություն է համարվում նավթը, որի հարցում երկիրը զուտ արտահանող է, նույնիսկ թեև միայն մեկ տոկոսն է աշխատում նավթարդյունաբերությունում:	վենեսուելայի համար կարևոր արդյունաբերություն է համարվում նավթը որի հարցում երկիրը զուտ արտահանող է նույնիսկ թեև միայն մեկ տոկոսն է աշխատում նավթարդյունաբերությունում	վ ե ն ե ս ո ւ ե լ ա յ ի | հ ա մ ա ր | կ ա ր և ո ր | ա ր դ յ ո ւ ն ա բ ե ր ո ւ թ յ ո ւ ն | է | հ ա մ ա ր վ ո ւ մ | ն ա վ թ ը | ո ր ի | հ ա ր ց ո ւ մ | ե ր կ ի ր ը | զ ո ւ տ | ա ր տ ա հ ա ն ո ղ | է | ն ո ւ յ ն ի ս կ | թ ե և | մ ի ա յ ն | մ ե կ | տ ո կ ո ս ն | է | ա շ խ ա տ ո ւ մ | ն ա վ թ ա ր դ յ ո ւ ն ա բ ե ր ո ւ թ յ ո ւ ն ո ւ մ |	192960	MALE
473	9331813007566740318.wav	Իսպանական ժառանգության համար պատերազմը նշանավորեց առաջին պատերազմը, որի հիմնական խնդիրը ուժերի հավասարակշռությունն էր:	իսպանական ժառանգության համար պատերազմը նշանավորեց առաջին պատերազմը որի հիմնական խնդիրը ուժերի հավասարակշռությունն էր	ի ս պ ա ն ա կ ա ն | ժ ա ռ ա ն գ ո ւ թ յ ա ն | հ ա մ ա ր | պ ա տ ե ր ա զ մ ը | ն շ ա ն ա վ ո ր ե ց | ա ռ ա ջ ի ն | պ ա տ ե ր ա զ մ ը | ո ր ի | հ ի մ ն ա կ ա ն | խ ն դ ի ր ը | ո ւ ժ ե ր ի | հ ա վ ա ս ա ր ա կ շ ռ ո ւ թ յ ո ւ ն ն | է ր |	207360	FEMALE
151	13594056237291873738.wav	Պարոն Ռիչարդ Բրանսոնի Վիրջին Գրուպը հայտ էր ներկայացրել բանկ, որը մերժվել էր նախքան բանկի ազգայնացվելը:	պարոն ռիչարդ բրանսոնի վիրջին գրուպը հայտ էր ներկայացրել բանկ որը մերժվել էր նախքան բանկի ազգայնացվելը	պ ա ր ո ն | ռ ի չ ա ր դ | բ ր ա ն ս ո ն ի | վ ի ր ջ ի ն | գ ր ո ւ պ ը | հ ա յ տ | է ր | ն ե ր կ ա յ ա ց ր ե լ | բ ա ն կ | ո ր ը | մ ե ր ժ վ ե լ | է ր | ն ա խ ք ա ն | բ ա ն կ ի | ա զ գ ա յ ն ա ց վ ե լ ը |	201600	FEMALE
73	12430912776001764930.wav	Դրա հետևանքով հունական իրավական համայնքում մեծ սկանդալ հասունացավ նախորդ տարիների ընթացքում դատավորների, իրավաբանների, փաստաբանների դատապաշտպանների ծավալած ապօրինի գործողությունների բացահայտման առթիվ:	դրա հետևանքով հունական իրավական համայնքում մեծ սկանդալ հասունացավ նախորդ տարիների ընթացքում դատավորների իրավաբանների փաստաբանների դատապաշտպանների ծավալած ապօրինի գործողությունների բացահայտման առթիվ	դ ր ա | հ ե տ և ա ն ք ո վ | հ ո ւ ն ա կ ա ն | ի ր ա վ ա կ ա ն | հ ա մ ա յ ն ք ո ւ մ | մ ե ծ | ս կ ա ն դ ա լ | հ ա ս ո ւ ն ա ց ա վ | ն ա խ ո ր դ | տ ա ր ի ն ե ր ի | ը ն թ ա ց ք ո ւ մ | դ ա տ ա վ ո ր ն ե ր ի | ի ր ա վ ա բ ա ն ն ե ր ի | փ ա ս տ ա բ ա ն ն ե ր ի | դ ա տ ա պ ա շ տ պ ա ն ն ե ր ի | ծ ա վ ա լ ա ծ | ա պ օ ր ի ն ի | գ ո ր ծ ո ղ ո ւ թ յ ո ւ ն ն ե ր ի | բ ա ց ա հ ա յ տ մ ա ն | ա ռ թ ի վ |	264960	MALE
1495	11020165068686242600.wav	Մյուսները ներառում են Լիվինգսթոն կղզին ու Դիսեփշնը, որտեղ դեռևս գործուն հրաբխի հեղեղված խառնարանը մի հոյակապ բնական նավահանգստի տեսարան է ստեղծում:	մյուսները ներառում են լիվինգսթոն կղզին ու դիսեփշնը որտեղ դեռևս գործուն հրաբխի հեղեղված խառնարանը մի հոյակապ բնական նավահանգստի տեսարան է ստեղծում	մ յ ո ւ ս ն ե ր ը | ն ե ր ա ռ ո ւ մ | ե ն | լ ի վ ի ն գ ս թ ո ն | կ ղ զ ի ն | ո ւ | դ ի ս ե փ շ ն ը | ո ր տ ե ղ | դ ե ռ և ս | գ ո ր ծ ո ւ ն | հ ր ա բ խ ի | հ ե ղ ե ղ վ ա ծ | խ ա ռ ն ա ր ա ն ը | մ ի | հ ո յ ա կ ա պ | բ ն ա կ ա ն | ն ա վ ա հ ա ն գ ս տ ի | տ ե ս ա ր ա ն | է | ս տ ե ղ ծ ո ւ մ |	202560	FEMALE
1147	16761901666798674908.wav	Դահուկասահքի գաղափարը շատ հին է. քարանձավային նկարները պատկերում են դահուկորդներին Քրիստոսի ծնունդից դեռ 5 000 տարի առաջ:	դահուկասահքի գաղափարը շատ հին է քարանձավային նկարները պատկերում են դահուկորդներին քրիստոսի ծնունդից դեռ 5 000 տարի առաջ	դ ա հ ո ւ կ ա ս ա հ ք ի | գ ա ղ ա փ ա ր ը | շ ա տ | հ ի ն | է | ք ա ր ա ն ձ ա վ ա յ ի ն | ն կ ա ր ն ե ր ը | պ ա տ կ ե ր ո ւ մ | ե ն | դ ա հ ո ւ կ ո ր դ ն ե ր ի ն | ք ր ի ս տ ո ս ի | ծ ն ո ւ ն դ ի ց | դ ե ռ | 5 | 0 0 0 | տ ա ր ի | ա ռ ա ջ |	199680	MALE
1338	8399586977977506974.wav	Եթե երկիրը, որը այցելելու եք, ենթակա է ճանապարհորդական խորհրդատվության, ապա դա կարող է ազդել ձեր ճանապարհորդական առողջության ապահովագրության կամ ձեր ճանապարհորդությունը չեղյալ հայտարարելու ապահովագրության վրա:	եթե երկիրը որը այցելելու եք ենթակա է ճանապարհորդական խորհրդատվության ապա դա կարող է ազդել ձեր ճանապարհորդական առողջության ապահովագրության կամ ձեր ճանապարհորդությունը չեղյալ հայտարարելու ապահովագրության վրա	ե թ ե | ե ր կ ի ր ը | ո ր ը | ա յ ց ե լ ե լ ո ւ | ե ք | ե ն թ ա կ ա | է | ճ ա ն ա պ ա ր հ ո ր դ ա կ ա ն | խ ո ր հ ր դ ա տ վ ո ւ թ յ ա ն | ա պ ա | դ ա | կ ա ր ո ղ | է | ա զ դ ե լ | ձ ե ր | ճ ա ն ա պ ա ր հ ո ր դ ա կ ա ն | ա ռ ո ղ ջ ո ւ թ յ ա ն | ա պ ա հ ո վ ա գ ր ո ւ թ յ ա ն | կ ա մ | ձ ե ր | ճ ա ն ա պ ա ր հ ո ր դ ո ւ թ յ ո ւ ն ը | չ ե ղ յ ա լ | հ ա յ տ ա ր ա ր ե լ ո ւ | ա պ ա հ ո վ ա գ ր ո ւ թ յ ա ն | վ ր ա |	305280	FEMALE
13	11679562798961464779.wav	Վերջերս նա պարտվեց Ռաոնիկին Բրիսբեյնի բաց առաջնությունում։	վերջերս նա պարտվեց ռաոնիկին բրիսբեյնի բաց առաջնությունում	վ ե ր ջ ե ր ս | ն ա | պ ա ր տ վ ե ց | ռ ա ո ն ի կ ի ն | բ ր ի ս բ ե յ ն ի | բ ա ց | ա ռ ա ջ ն ո ւ թ յ ո ւ ն ո ւ մ |	147840	MALE
539	10198007993073239061.wav	Զբոսաշրջիկները կարող են այցելել որոշակի երկրի բազմազան տեսարժան վայրեր կամ ուղղակի կենտրոնանալ միայն մեկ տարածքի վրա:	զբոսաշրջիկները կարող են այցելել որոշակի երկրի բազմազան տեսարժան վայրեր կամ ուղղակի կենտրոնանալ միայն մեկ տարածքի վրա	զ բ ո ս ա շ ր ջ ի կ ն ե ր ը | կ ա ր ո ղ | ե ն | ա յ ց ե լ ե լ | ո ր ո շ ա կ ի | ե ր կ ր ի | բ ա զ մ ա զ ա ն | տ ե ս ա ր ժ ա ն | վ ա յ ր ե ր | կ ա մ | ո ւ ղ ղ ա կ ի | կ ե ն տ ր ո ն ա ն ա լ | մ ի ա յ ն | մ ե կ | տ ա ր ա ծ ք ի | վ ր ա |	171840	MALE
57	5021498250546746938.wav	«Եթե այն առևտրային դառնա, ապա պետք է ունենանք այն։ Այն է՝ միջուկային էներգիայի որևէ սկզբունքային առարկություն չկա, ասաց պարոն Կոստելլոն։»	եթե այն առևտրային դառնա ապա պետք է ունենանք այն այն է միջուկային էներգիայի որևէ սկզբունքային առարկություն չկա ասաց պարոն կոստելլոն	ե թ ե | ա յ ն | ա ռ և տ ր ա յ ի ն | դ ա ռ ն ա | ա պ ա | պ ե տ ք | է | ո ւ ն ե ն ա ն ք | ա յ ն | ա յ ն | է | մ ի ջ ո ւ կ ա յ ի ն | է ն ե ր գ ի ա յ ի | ո ր և է | ս կ զ բ ո ւ ն ք ա յ ի ն | ա ռ ա ր կ ո ւ թ յ ո ւ ն | չ կ ա | ա ս ա ց | պ ա ր ո ն | կ ո ս տ ե լ լ ո ն |	198720	MALE
131	5067474441467620208.wav	Այսօրվա հայտարարությունը նույնպես ընդլայնեց այս տարվա մարտին արված կառավարության պատրաստակամությունը՝ ֆինանսավորելու լրացուցիչ փոխադրումներ։	այսօրվա հայտարարությունը նույնպես ընդլայնեց այս տարվա մարտին արված կառավարության պատրաստակամությունը ֆինանսավորելու լրացուցիչ փոխադրումներ	ա յ ս օ ր վ ա | հ ա յ տ ա ր ա ր ո ւ թ յ ո ւ ն ը | ն ո ւ յ ն պ ե ս | ը ն դ լ ա յ ն ե ց | ա յ ս | տ ա ր վ ա | մ ա ր տ ի ն | ա ր վ ա ծ | կ ա ռ ա վ ա ր ո ւ թ յ ա ն | պ ա տ ր ա ս տ ա կ ա մ ո ւ թ յ ո ւ ն ը | ֆ ի ն ա ն ս ա վ ո ր ե լ ո ւ | լ ր ա ց ո ւ ց ի չ | փ ո խ ա դ ր ո ւ մ ն ե ր |	193920	MALE
396	17139161874906581468.wav	Սակայն թագավորական նավատորմի շատ քիչ նավեր էին տեղակայված հավանական ներխուժումների երթուղիների մոտակայքում, քանի որ ծովակալները մտավախություն ունեին, որ դրանք կարող էին խորտակվել գերմանական օդային հարձակման արդյունքում:	սակայն թագավորական նավատորմի շատ քիչ նավեր էին տեղակայված հավանական ներխուժումների երթուղիների մոտակայքում քանի որ ծովակալները մտավախություն ունեին որ դրանք կարող էին խորտակվել գերմանական օդային հարձակման արդյունքում	ս ա կ ա յ ն | թ ա գ ա վ ո ր ա կ ա ն | ն ա վ ա տ ո ր մ ի | շ ա տ | ք ի չ | ն ա վ ե ր | է ի ն | տ ե ղ ա կ ա յ վ ա ծ | հ ա վ ա ն ա կ ա ն | ն ե ր խ ո ւ ժ ո ւ մ ն ե ր ի | ե ր թ ո ւ ղ ի ն ե ր ի | մ ո տ ա կ ա յ ք ո ւ մ | ք ա ն ի | ո ր | ծ ո վ ա կ ա լ ն ե ր ը | մ տ ա վ ա խ ո ւ թ յ ո ւ ն | ո ւ ն ե ի ն | ո ր | դ ր ա ն ք | կ ա ր ո ղ | է ի ն | խ ո ր տ ա կ վ ե լ | գ ե ր մ ա ն ա կ ա ն | օ դ ա յ ի ն | հ ա ր ձ ա կ մ ա ն | ա ր դ յ ո ւ ն ք ո ւ մ |	281280	FEMALE
89	8117940247350605176.wav	Իշխանությունները քիչ բան ասացին այսօրվա ձերբակալությունը հաստատելուց բացի։	իշխանությունները քիչ բան ասացին այսօրվա ձերբակալությունը հաստատելուց բացի	ի շ խ ա ն ո ւ թ յ ո ւ ն ն ե ր ը | ք ի չ | բ ա ն | ա ս ա ց ի ն | ա յ ս օ ր վ ա | ձ ե ր բ ա կ ա լ ո ւ թ յ ո ւ ն ը | հ ա ս տ ա տ ե լ ո ւ ց | բ ա ց ի |	176640	FEMALE
1358	15023122952483550581.wav	Հակամարմնի մեկ կոկտեյլը՝ Զմապ, ի սկզբանե խոստումնալից էր թվում ոլորտում, բայց պաշտոնական ուսումնասիրությունները ցույց տվեցին, որ այն ավելի քիչ օգուտ ունի, քան մահը կանխելու փորձը:	հակամարմնի մեկ կոկտեյլը զմապ ի սկզբանե խոստումնալից էր թվում ոլորտում բայց պաշտոնական ուսումնասիրությունները ցույց տվեցին որ այն ավելի քիչ օգուտ ունի քան մահը կանխելու փորձը	հ ա կ ա մ ա ր մ ն ի | մ ե կ | կ ո կ տ ե յ լ ը | զ մ ա պ | ի | ս կ զ բ ա ն ե | խ ո ս տ ո ւ մ ն ա լ ի ց | է ր | թ վ ո ւ մ | ո լ ո ր տ ո ւ մ | բ ա յ ց | պ ա շ տ ո ն ա կ ա ն | ո ւ ս ո ւ մ ն ա ս ի ր ո ւ թ յ ո ւ ն ն ե ր ը | ց ո ւ յ ց | տ վ ե ց ի ն | ո ր | ա յ ն | ա վ ե լ ի | ք ի չ | օ գ ո ւ տ | ո ւ ն ի | ք ա ն | մ ա հ ը | կ ա ն խ ե լ ո ւ | փ ո ր ձ ը |	223680	MALE
472	6056586240975911448.wav	Հայեցակարգը կայանում էր նրանում, որ բոլոր եվրոպական ազգերը պետք է ջանք գործադրեին՝ թույլ չտալու, որ մի ազգը դառնա հզոր, ուստի ազգային կառավարությունները հաճախ փոխում էին իրենց դաշինքները, որպեսզի պահպանեն հավասարակշռվածությունը:	հայեցակարգը կայանում էր նրանում որ բոլոր եվրոպական ազգերը պետք է ջանք գործադրեին թույլ չտալու որ մի ազգը դառնա հզոր ուստի ազգային կառավարությունները հաճախ փոխում էին իրենց դաշինքները որպեսզի պահպանեն հավասարակշռվածությունը	հ ա յ ե ց ա կ ա ր գ ը | կ ա յ ա ն ո ւ մ | է ր | ն ր ա ն ո ւ մ | ո ր | բ ո լ ո ր | ե վ ր ո պ ա կ ա ն | ա զ գ ե ր ը | պ ե տ ք | է | ջ ա ն ք | գ ո ր ծ ա դ ր ե ի ն | թ ո ւ յ լ | չ տ ա լ ո ւ | ո ր | մ ի | ա զ գ ը | դ ա ռ ն ա | հ զ ո ր | ո ւ ս տ ի | ա զ գ ա յ ի ն | կ ա ռ ա վ ա ր ո ւ թ յ ո ւ ն ն ե ր ը | հ ա ճ ա խ | փ ո խ ո ւ մ | է ի ն | ի ր ե ն ց | դ ա շ ի ն ք ն ե ր ը | ո ր պ ե ս զ ի | պ ա հ պ ա ն ե ն | հ ա վ ա ս ա ր ա կ շ ռ վ ա ծ ո ւ թ յ ո ւ ն ը |	211200	FEMALE
986	10330926398888583600.wav	Հիմնականում ներգրավել են մարդիկ, ովքեր աշխատում են թռչնաֆաբրիկայի հետ, բայց որոշակիորեն ռիսկային են նաև թռչնաբանները:	հիմնականում ներգրավել են մարդիկ ովքեր աշխատում են թռչնաֆաբրիկայի հետ բայց որոշակիորեն ռիսկային են նաև թռչնաբանները	հ ի մ ն ա կ ա ն ո ւ մ | ն ե ր գ ր ա վ ե լ | ե ն | մ ա ր դ ի կ | ո վ ք ե ր | ա շ խ ա տ ո ւ մ | ե ն | թ ռ չ ն ա ֆ ա բ ր ի կ ա յ ի | հ ե տ | բ ա յ ց | ո ր ո շ ա կ ի ո ր ե ն | ռ ի ս կ ա յ ի ն | ե ն | ն ա և | թ ռ չ ն ա բ ա ն ն ե ր ը |	223680	FEMALE
1345	3743575256123202970.wav	Չնայած յուրաքանչյուր երկիր «սկանդինավյան» էր, Դանիայի, Շվեդիայի, Նորվեգիայի և Իսլանդիայի ժողովրդի, թագավորների, սովորույթների և պատմության միջև տարբերությունները բազմաթիվ էին:	չնայած յուրաքանչյուր երկիր սկանդինավյան էր դանիայի շվեդիայի նորվեգիայի և իսլանդիայի ժողովրդի թագավորների սովորույթների և պատմության միջև տարբերությունները բազմաթիվ էին	չ ն ա յ ա ծ | յ ո ւ ր ա ք ա ն չ յ ո ւ ր | ե ր կ ի ր | ս կ ա ն դ ի ն ա վ յ ա ն | է ր | դ ա ն ի ա յ ի | շ վ ե դ ի ա յ ի | ն ո ր վ ե գ ի ա յ ի | և | ի ս լ ա ն դ ի ա յ ի | ժ ո ղ ո վ ր դ ի | թ ա գ ա վ ո ր ն ե ր ի | ս ո վ ո ր ո ւ յ թ ն ե ր ի | և | պ ա տ մ ո ւ թ յ ա ն | մ ի ջ և | տ ա ր բ ե ր ո ւ թ յ ո ւ ն ն ե ր ը | բ ա զ մ ա թ ի վ | է ի ն |	182400	MALE
1065	14801770508686924015.wav	Ավստրալիացիների համար 'կաթով' սուրճի գաղափարն օտար է։ Կարճ սևը 'էսպրեսսոն' է, կապուչինոն մատուցվում է բարձր սերուցքով (ոչ փրփուրով), և թեյը մատուցվում է առանց կաթի։	ավստրալիացիների համար 'կաթով' սուրճի գաղափարն օտար է։ կարճ սևը 'էսպրեսսոն' է կապուչինոն մատուցվում է բարձր սերուցքով ոչ փրփուրով և թեյը մատուցվում է առանց կաթի։	ա վ ս տ ր ա լ ի ա ց ի ն ե ր ի | հ ա մ ա ր | ' կ ա թ ո վ ' | ս ո ւ ր ճ ի | գ ա ղ ա փ ա ր ն | օ տ ա ր | է ։ | կ ա ր ճ | ս և ը | ' է ս պ ր ե ս ս ո ն ' | է | կ ա պ ո ւ չ ի ն ո ն | մ ա տ ո ւ ց վ ո ւ մ | է | բ ա ր ձ ր | ս ե ր ո ւ ց ք ո վ | ո չ | փ ր փ ո ւ ր ո վ | և | թ ե յ ը | մ ա տ ո ւ ց վ ո ւ մ | է | ա ռ ա ն ց | կ ա թ ի ։ |	167040	FEMALE
1312	12211503915333322328.wav	Կարող եք օգտագործել մատիտ՝ սեփական նշումների համար, սակայն հիշեք, որ տպագրված խոնարհման նշանները երաժշտական նպատակով են այնտեղ, ուստի, սովորաբար դրանք պետք է հաշվի առնել։	կարող եք օգտագործել մատիտ սեփական նշումների համար սակայն հիշեք որ տպագրված խոնարհման նշանները երաժշտական նպատակով են այնտեղ ուստի սովորաբար դրանք պետք է հաշվի առնել	կ ա ր ո ղ | ե ք | օ գ տ ա գ ո ր ծ ե լ | մ ա տ ի տ | ս ե փ ա կ ա ն | ն շ ո ւ մ ն ե ր ի | հ ա մ ա ր | ս ա կ ա յ ն | հ ի շ ե ք | ո ր | տ պ ա գ ր վ ա ծ | խ ո ն ա ր հ մ ա ն | ն շ ա ն ն ե ր ը | ե ր ա ժ շ տ ա կ ա ն | ն պ ա տ ա կ ո վ | ե ն | ա յ ն տ ե ղ | ո ւ ս տ ի | ս ո վ ո ր ա բ ա ր | դ ր ա ն ք | պ ե տ ք | է | հ ա շ վ ի | ա ռ ն ե լ |	194880	MALE
224	11091287196274538469.wav	Բլեյքը նույնպես մեղավոր ճանաչվեց արդարադատության ընթացքը խեղաթյուրել փորձելու համար:	բլեյքը նույնպես մեղավոր ճանաչվեց արդարադատության ընթացքը խեղաթյուրել փորձելու համար	բ լ ե յ ք ը | ն ո ւ յ ն պ ե ս | մ ե ղ ա վ ո ր | ճ ա ն ա չ վ ե ց | ա ր դ ա ր ա դ ա տ ո ւ թ յ ա ն | ը ն թ ա ց ք ը | խ ե ղ ա թ յ ո ւ ր ե լ | փ ո ր ձ ե լ ո ւ | հ ա մ ա ր |	108480	FEMALE
