329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
496	13663950973433909011.wav	Император Август ба кор қабул кардани духтуронро оғоз кард ва ҳатто якумин Корпуси тиббии Римро барои истифода баъд аз ҷангҳо ташкил кард.	император август ба кор қабул кардани духтуронро оғоз кард ва ҳатто якумин корпуси тиббии римро барои истифода баъд аз ҷангҳо ташкил кард	и м п е р а т о р | а в г у с т | б а | к о р | қ а б у л | к а р д а н и | д у х т у р о н р о | о ғ о з | к а р д | в а | ҳ а т т о | я к у м и н | к о р п у с и | т и б б и и | р и м р о | б а р о и | и с т и ф о д а | б а ъ д | а з | ҷ а н г ҳ о | т а ш к и л | к а р д |	167040	MALE
1426	7365640115322659654.wav	Гавазнпарварӣ манбаи муҳими таъмини рӯзгор барои Сомиҳо маҳсуб ёфта, фарҳанги атроф барои бисёр касбҳои дигар низ аҳамияти муҳим дорад.	гавазнпарварӣ манбаи муҳими таъмини рӯзгор барои сомиҳо маҳсуб ёфта фарҳанги атроф барои бисёр касбҳои дигар низ аҳамияти муҳим дорад	г а в а з н п а р в а р ӣ | м а н б а и | м у ҳ и м и | т а ъ м и н и | р ӯ з г о р | б а р о и | с о м и ҳ о | м а ҳ с у б | ё ф т а | ф а р ҳ а н г и | а т р о ф | б а р о и | б и с ё р | к а с б ҳ о и | д и г а р | н и з | а ҳ а м и я т и | м у ҳ и м | д о р а д |	246720	FEMALE
1466	17081480175584877431.wav	Ҳангоми солҳои 1980 вай дар намоишҳои ба монанди Taxi, Cheers, ва The Tracy Ullman Show кор кардааст.	ҳангоми солҳои 1980 вай дар намоишҳои ба монанди taxi cheers ва the tracy ullman show кор кардааст	ҳ а н г о м и | с о л ҳ о и | 1 9 8 0 | в а й | д а р | н а м о и ш ҳ о и | б а | м о н а н д и | t a x i | c h e e r s | в а | t h e | t r a c y | u l l m a n | s h o w | к о р | к а р д а а с т |	155520	MALE
335	14806189307529166318.wav	Сипас ба саҳна дарвешҳои даврзананда баромаданд.	сипас ба саҳна дарвешҳои даврзананда баромаданд	с и п а с | б а | с а ҳ н а | д а р в е ш ҳ о и | д а в р з а н а н д а | б а р о м а д а н д |	67200	MALE
695	2499246175301975330.wav	Шаҳри бостонии Теппаҳои Яҳудӣ таърихи аҷиби фарогири ҳазорсолаҳоро дорад.	шаҳри бостонии теппаҳои яҳудӣ таърихи аҷиби фарогири ҳазорсолаҳоро дорад	ш а ҳ р и | б о с т о н и и | т е п п а ҳ о и | я ҳ у д ӣ | т а ъ р и х и | а ҷ и б и | ф а р о г и р и | ҳ а з о р с о л а ҳ о р о | д о р а д |	108480	FEMALE
1329	9986226944717055120.wav	Симинов гуфт, ки фурӯш баъди пайдоиши он дар соли 2013 дар эпизоди Аквариуми акулаҳо афзоиш ёфтааст, ки дар он шоу‑панелҳо аз маблағгузории ифтитиҳоӣ даст кашиданд.	симинов гуфт ки фурӯш баъди пайдоиши он дар соли 2013 дар эпизоди аквариуми акулаҳо афзоиш ёфтааст ки дар он шоу-панелҳо аз маблағгузории ифтитиҳоӣ даст кашиданд	с и м и н о в | г у ф т | к и | ф у р ӯ ш | б а ъ д и | п а й д о и ш и | о н | д а р | с о л и | 2 0 1 3 | д а р | э п и з о д и | а к в а р и у м и | а к у л а ҳ о | а ф з о и ш | ё ф т а а с т | к и | д а р | о н | ш о у - п а н е л ҳ о | а з | м а б л а ғ г у з о р и и | и ф т и т и ҳ о ӣ | д а с т | к а ш и д а н д |	264960	FEMALE
326	13325442805102781758.wav	Олимони Маркази миллии тӯфонҳо пешгӯӣ менамоянд, ки тӯфони Даниел то рӯзи чоршанбе ба гирдбод табдил мешавад.	олимони маркази миллии тӯфонҳо пешгӯӣ менамоянд ки тӯфони даниел то рӯзи чоршанбе ба гирдбод табдил мешавад	о л и м о н и | м а р к а з и | м и л л и и | т ӯ ф о н ҳ о | п е ш г ӯ ӣ | м е н а м о я н д | к и | т ӯ ф о н и | д а н и е л | т о | р ӯ з и | ч о р ш а н б е | б а | г и р д б о д | т а б д и л | м е ш а в а д |	190080	FEMALE
832	18275141256872431682.wav	Дар қатораҳои хоби шабона, кондуктор барои халалдор насохтани хоби мусофирон метавонад шиносномаҳоро ҷамъ оварад.	дар қатораҳои хоби шабона кондуктор барои халалдор насохтани хоби мусофирон метавонад шиносномаҳоро ҷамъ оварад	д а р | қ а т о р а ҳ о и | х о б и | ш а б о н а | к о н д у к т о р | б а р о и | х а л а л д о р | н а с о х т а н и | х о б и | м у с о ф и р о н | м е т а в о н а д | ш и н о с н о м а ҳ о р о | ҷ а м ъ | о в а р а д |	161280	FEMALE
237	11091107956048623183.wav	Он мисли об рафтор мекунад. Он ба монанди об зулол аст.	он мисли об рафтор мекунад он ба монанди об зулол аст	о н | м и с л и | о б | р а ф т о р | м е к у н а д | о н | б а | м о н а н д и | о б | з у л о л | а с т |	87360	MALE
858	1780329884906370233.wav	Эҳтимол аст, ки шумо надониста ҳамчун ҳаммоли маводи мухаддир истифода мешавед, ва ин метавонад барои шумо боиси мушкилоти калон гардад.	эҳтимол аст ки шумо надониста ҳамчун ҳаммоли маводи мухаддир истифода мешавед ва ин метавонад барои шумо боиси мушкилоти калон гардад	э ҳ т и м о л | а с т | к и | ш у м о | н а д о н и с т а | ҳ а м ч у н | ҳ а м м о л и | м а в о д и | м у х а д д и р | и с т и ф о д а | м е ш а в е д | в а | и н | м е т а в о н а д | б а р о и | ш у м о | б о и с и | м у ш к и л о т и | к а л о н | г а р д а д |	188160	FEMALE
403	141738764758342454.wav	Аз киштиҳои зериобӣ дар ҷангҳои якум ва дуюми ҷаҳонӣ истифода мебурданд. Он вақт суръати ҳаракати онҳо хеле суст буда, дурии масофаи тирпарронияшон хеле маҳдуд буданд.	аз киштиҳои зериобӣ дар ҷангҳои якум ва дуюми ҷаҳонӣ истифода мебурданд он вақт суръати ҳаракати онҳо хеле суст буда дурии масофаи тирпарронияшон хеле маҳдуд буданд	а з | к и ш т и ҳ о и | з е р и о б ӣ | д а р | ҷ а н г ҳ о и | я к у м | в а | д у ю м и | ҷ а ҳ о н ӣ | и с т и ф о д а | м е б у р д а н д | о н | в а қ т | с у р ъ а т и | ҳ а р а к а т и | о н ҳ о | х е л е | с у с т | б у д а | д у р и и | м а с о ф а и | т и р п а р р о н и я ш о н | х е л е | м а ҳ д у д | б у д а н д |	240000	FEMALE
22	14874301484973194453.wav	Ҳсие инчунин изҳор дошт, ки Maи суратзеб нисбат ба боигарӣ услуби хеле хуб дошт.	ҳсие инчунин изҳор дошт ки maи суратзеб нисбат ба боигарӣ услуби хеле хуб дошт	ҳ с и е | и н ч у н и н | и з ҳ о р | д о ш т | к и | m a и | с у р а т з е б | н и с б а т | б а | б о и г а р ӣ | у с л у б и | х е л е | х у б | д о ш т |	192000	FEMALE
979	13126774917773982350.wav	Дар ҳавои гарм сайёҳон метавонанд саробҳоеро эҳсос мекунанд, ки ғалати тасаввури обро (ё чизҳои дигарро) ба вуҷуд меоранд.	дар ҳавои гарм сайёҳон метавонанд саробҳоеро эҳсос мекунанд ки ғалати тасаввури обро ё чизҳои дигарро ба вуҷуд меоранд	д а р | ҳ а в о и | г а р м | с а й ё ҳ о н | м е т а в о н а н д | с а р о б ҳ о е р о | э ҳ с о с | м е к у н а н д | к и | ғ а л а т и | т а с а в в у р и | о б р о | ё | ч и з ҳ о и | д и г а р р о | б а | в у ҷ у д | м е о р а н д |	155520	MALE
62	3325172395462246550.wav	Ҳангоми сухани 2-соатаи худ, вай изҳор кард, ки «Apple-и имрӯза телефонро дубора ихтироъ менамояд, имрӯз мо таърих месозем".	ҳангоми сухани 2-соатаи худ вай изҳор кард ки «apple-и имрӯза телефонро дубора ихтироъ менамояд имрӯз мо таърих месозем	ҳ а н г о м и | с у х а н и | 2 - с о а т а и | х у д | в а й | и з ҳ о р | к а р д | к и | « a p p l e - и | и м р ӯ з а | т е л е ф о н р о | д у б о р а | и х т и р о ъ | м е н а м о я д | и м р ӯ з | м о | т а ъ р и х | м е с о з е м |	184320	FEMALE
1173	10491888422302794788.wav	Менеҷерони гузарондани ҷарроҳии тағйири ҷинсро дар хориҷа ба нақша гирифтаанд, бояд боварӣ ҳосил кунанд, ки ҳангоми баргашт бо худ ҳуҷҷатҳои эътиборноки сафар доранд.	менеҷерони гузарондани ҷарроҳии тағйири ҷинсро дар хориҷа ба нақша гирифтаанд бояд боварӣ ҳосил кунанд ки ҳангоми баргашт бо худ ҳуҷҷатҳои эътиборноки сафар доранд	м е н е ҷ е р о н и | г у з а р о н д а н и | ҷ а р р о ҳ и и | т а ғ й и р и | ҷ и н с р о | д а р | х о р и ҷ а | б а | н а қ ш а | г и р и ф т а а н д | б о я д | б о в а р ӣ | ҳ о с и л | к у н а н д | к и | ҳ а н г о м и | б а р г а ш т | б о | х у д | ҳ у ҷ ҷ а т ҳ о и | э ъ т и б о р н о к и | с а ф а р | д о р а н д |	263040	FEMALE
1420	14223026689110433594.wav	Симинов дар охири соли 2017 дар канали хариди телевизионии QVC зоҳир шуд.	симинов дар охири соли 2017 дар канали хариди телевизионии qvc зоҳир шуд	с и м и н о в | д а р | о х и р и | с о л и | 2 0 1 7 | д а р | к а н а л и | х а р и д и | т е л е в и з и о н и и | q v c | з о ҳ и р | ш у д |	103680	MALE
1273	10155969200326085056.wav	Аз рӯи гузориши Синхуа, муфаттишони давлатӣ ду “қуттии сиёҳ”, яъне сабткунандагони ҳавомайморо рӯзи чоршанбе барқарор карданд.	аз рӯи гузориши синхуа муфаттишони давлатӣ ду қуттии сиёҳ яъне сабткунандагони ҳавомайморо рӯзи чоршанбе барқарор карданд	а з | р ӯ и | г у з о р и ш и | с и н х у а | м у ф а т т и ш о н и | д а в л а т ӣ | д у | қ у т т и и | с и ё ҳ | я ъ н е | с а б т к у н а н д а г о н и | ҳ а в о м а й м о р о | р ӯ з и | ч о р ш а н б е | б а р қ а р о р | к а р д а н д |	246720	FEMALE
993	12939507890481100384.wav	Авҷи мавсими сайёҳӣ дар истгоҳҳои кӯҳӣ одатан дар вақти гармои тирамоҳ рост меояд.	авҷи мавсими сайёҳӣ дар истгоҳҳои кӯҳӣ одатан дар вақти гармои тирамоҳ рост меояд	а в ҷ и | м а в с и м и | с а й ё ҳ ӣ | д а р | и с т г о ҳ ҳ о и | к ӯ ҳ ӣ | о д а т а н | д а р | в а қ т и | г а р м о и | т и р а м о ҳ | р о с т | м е о я д |	140160	FEMALE
101	13198642642197784823.wav	Кушодани клапанҳо барои партофтани фишор дар система имкон дод ва нафт тавассути болиштак ба зарфе ҷорӣ шуд, ки ғунҷоишаш ба 55 000 баррел (2,3 миллион галлон) баробар аст.	кушодани клапанҳо барои партофтани фишор дар система имкон дод ва нафт тавассути болиштак ба зарфе ҷорӣ шуд ки ғунҷоишаш ба 55 000 баррел 2,3 миллион галлон баробар аст	к у ш о д а н и | к л а п а н ҳ о | б а р о и | п а р т о ф т а н и | ф и ш о р | д а р | с и с т е м а | и м к о н | д о д | в а | н а ф т | т а в а с с у т и | б о л и ш т а к | б а | з а р ф е | ҷ о р ӣ | ш у д | к и | ғ у н ҷ о и ш а ш | б а | 5 5 | 0 0 0 | б а р р е л | 2 , 3 | м и л л и о н | г а л л о н | б а р о б а р | а с т |	385920	FEMALE
576	7897115896507684552.wav	Ҳар як аз ин шӯриш ё раҳпаймоиҳои кӯчманчигӣ тақрибан 17 рӯз давом мекунад.	ҳар як аз ин шӯриш ё раҳпаймоиҳои кӯчманчигӣ тақрибан 17 рӯз давом мекунад	ҳ а р | я к | а з | и н | ш ӯ р и ш | ё | р а ҳ п а й м о и ҳ о и | к ӯ ч м а н ч и г ӣ | т а қ р и б а н | 1 7 | р ӯ з | д а в о м | м е к у н а д |	96000	MALE
198	11837444797116065628.wav	Вазъи саломатии президент мӯътадил арзёбӣ мегардад, гарчанде ки вай дар хона ба муддати якчанд рӯз ҷудо нигоҳ дошта хоҳад шуд.	вазъи саломатии президент мӯътадил арзёбӣ мегардад гарчанде ки вай дар хона ба муддати якчанд рӯз ҷудо нигоҳ дошта хоҳад шуд	в а з ъ и | с а л о м а т и и | п р е з и д е н т | м ӯ ъ т а д и л | а р з ё б ӣ | м е г а р д а д | г а р ч а н д е | к и | в а й | д а р | х о н а | б а | м у д д а т и | я к ч а н д | р ӯ з | ҷ у д о | н и г о ҳ | д о ш т а | х о ҳ а д | ш у д |	176640	FEMALE
1394	1388927091389554328.wav	Ҳангоми ташрифоварӣ ба боғи ба таври расмӣ тартиб додашуда, барои ҷамъоварии "намунаҳо" бидуни муҳокима низ шуморо бурен кашида мебароранд.	ҳангоми ташрифоварӣ ба боғи ба таври расмӣ тартиб додашуда барои ҷамъоварии намунаҳо бидуни муҳокима низ шуморо бурен кашида мебароранд	ҳ а н г о м и | т а ш р и ф о в а р ӣ | б а | б о ғ и | б а | т а в р и | р а с м ӣ | т а р т и б | д о д а ш у д а | б а р о и | ҷ а м ъ о в а р и и | н а м у н а ҳ о | б и д у н и | м у ҳ о к и м а | н и з | ш у м о р о | б у р е н | к а ш и д а | м е б а р о р а н д |	209280	FEMALE
399	8914347881290588841.wav	Ҳадафҳои асосии Италия кишварҳои Африқо ба шумор мерафтанд. Барои ғасб кардани кишварҳои мазкур, ба онҳо як пойгоҳи сар додани лашкарон лозим астто ки қувваҳояшон тавонанд тавассути баҳри Миёназамин шино карда, ба Африқо ҳамла кунанд.	ҳадафҳои асосии италия кишварҳои африқо ба шумор мерафтанд барои ғасб кардани кишварҳои мазкур ба онҳо як пойгоҳи сар додани лашкарон лозим астто ки қувваҳояшон тавонанд тавассути баҳри миёназамин шино карда ба африқо ҳамла кунанд	ҳ а д а ф ҳ о и | а с о с и и | и т а л и я | к и ш в а р ҳ о и | а ф р и қ о | б а | ш у м о р | м е р а ф т а н д | б а р о и | ғ а с б | к а р д а н и | к и ш в а р ҳ о и | м а з к у р | б а | о н ҳ о | я к | п о й г о ҳ и | с а р | д о д а н и | л а ш к а р о н | л о з и м | а с т т о | к и | қ у в в а ҳ о я ш о н | т а в о н а н д | т а в а с с у т и | б а ҳ р и | м и ё н а з а м и н | ш и н о | к а р д а | б а | а ф р и қ о | ҳ а м л а | к у н а н д |	284160	MALE
1453	15220846841894516585.wav	Маҳдудиятҳои муқарраршудаи суръат назар ба қитъаҳои қаблӣ ва баъдӣ ба таври назаррас пасттаранд - одатан 35-40 мил/соат (56-64 км/соат) - ва риояи қатъии онҳо аз ҳама чиз дида муҳимтар аст.	маҳдудиятҳои муқарраршудаи суръат назар ба қитъаҳои қаблӣ ва баъдӣ ба таври назаррас пасттаранд - одатан 35-40 мил/соат 56-64 км/соат - ва риояи қатъии онҳо аз ҳама чиз дида муҳимтар аст	м а ҳ д у д и я т ҳ о и | м у қ а р р а р ш у д а и | с у р ъ а т | н а з а р | б а | қ и т ъ а ҳ о и | қ а б л ӣ | в а | б а ъ д ӣ | б а | т а в р и | н а з а р р а с | п а с т т а р а н д | - | о д а т а н | 3 5 - 4 0 | м и л / с о а т | 5 6 - 6 4 | к м / с о а т | - | в а | р и о я и | қ а т ъ и и | о н ҳ о | а з | ҳ а м а | ч и з | д и д а | м у ҳ и м т а р | а с т |	261120	MALE
1104	8760849813505017776.wav	Бузҳои хонагӣ одатан дар рамаҳое нигоҳ дошта буданд, ки дар теппаҳо ё дигар минтақаҳои чарогоҳӣ мегаштанд ва бисёр вақт онҳоро подабонони буз нигоҳ мекарданд, ки аксар вақт кӯдакон ё наврасон буданд, ба монанди чӯпони маъруфтар. Чунин усулҳои подабониро имрӯз низ истифода мебаранд.	бузҳои хонагӣ одатан дар рамаҳое нигоҳ дошта буданд ки дар теппаҳо ё дигар минтақаҳои чарогоҳӣ мегаштанд ва бисёр вақт онҳоро подабонони буз нигоҳ мекарданд ки аксар вақт кӯдакон ё наврасон буданд ба монанди чӯпони маъруфтар чунин усулҳои подабониро имрӯз низ истифода мебаранд	б у з ҳ о и | х о н а г ӣ | о д а т а н | д а р | р а м а ҳ о е | н и г о ҳ | д о ш т а | б у д а н д | к и | д а р | т е п п а ҳ о | ё | д и г а р | м и н т а қ а ҳ о и | ч а р о г о ҳ ӣ | м е г а ш т а н д | в а | б и с ё р | в а қ т | о н ҳ о р о | п о д а б о н о н и | б у з | н и г о ҳ | м е к а р д а н д | к и | а к с а р | в а қ т | к ӯ д а к о н | ё | н а в р а с о н | б у д а н д | б а | м о н а н д и | ч ӯ п о н и | м а ъ р у ф т а р | ч у н и н | у с у л ҳ о и | п о д а б о н и р о | и м р ӯ з | н и з | и с т и ф о д а | м е б а р а н д |	377280	FEMALE
41	16511744259182035556.wav	Ҷон Грант аз WNED Буфалло (ҷойгиршавии Reading Rainbow) изҳор дошт:"Reading Rainbow кӯдаконро барои чи хондан,... муҳаббат нисбати хонишро омӯзонид - [шоу] кӯдаконро водор сохт, ки ба дасташон китобро гирифта мутолиа намоянд."	ҷон грант аз wned буфалло ҷойгиршавии reading rainbow изҳор дошт:"reading rainbow кӯдаконро барои чи хондан,... муҳаббат нисбати хонишро омӯзонид - [шоу] кӯдаконро водор сохт ки ба дасташон китобро гирифта мутолиа намоянд.	ҷ о н | г р а н т | а з | w n e d | б у ф а л л о | ҷ о й г и р ш а в и и | r e a d i n g | r a i n b o w | и з ҳ о р | д о ш т : " r e a d i n g | r a i n b o w | к ӯ д а к о н р о | б а р о и | ч и | х о н д а н , . . . | м у ҳ а б б а т | н и с б а т и | х о н и ш р о | о м ӯ з о н и д | - | [ ш о у ] | к ӯ д а к о н р о | в о д о р | с о х т | к и | б а | д а с т а ш о н | к и т о б р о | г и р и ф т а | м у т о л и а | н а м о я н д . |	309120	MALE
269	14094009776364611984.wav	Ин бори аввал аст, ки ҳукми айбдоркунанда бо истифода аз қонуне, ки соли 2003 ҷиҳати пешгирии фиристониши оммавии паёмҳои электронӣ, ба номаш спам аз тақсимоти номатлуб ба қуттиҳои почтаи корбарон қабул карда шудааст, ба даст оварда шуд.	ин бори аввал аст ки ҳукми айбдоркунанда бо истифода аз қонуне ки соли 2003 ҷиҳати пешгирии фиристониши оммавии паёмҳои электронӣ ба номаш спам аз тақсимоти номатлуб ба қуттиҳои почтаи корбарон қабул карда шудааст ба даст оварда шуд	и н | б о р и | а в в а л | а с т | к и | ҳ у к м и | а й б д о р к у н а н д а | б о | и с т и ф о д а | а з | қ о н у н е | к и | с о л и | 2 0 0 3 | ҷ и ҳ а т и | п е ш г и р и и | ф и р и с т о н и ш и | о м м а в и и | п а ё м ҳ о и | э л е к т р о н ӣ | б а | н о м а ш | с п а м | а з | т а қ с и м о т и | н о м а т л у б | б а | қ у т т и ҳ о и | п о ч т а и | к о р б а р о н | қ а б у л | к а р д а | ш у д а а с т | б а | д а с т | о в а р д а | ш у д |	349440	FEMALE
552	9462851202879862187.wav	Ғизои дуруст худ аз худ наметавонад ба нишондиҳандаҳои элита оварда расонад, аммо метавонад ба аҳволи умумии варзишгарони ҷавон ба таври назаррас таъсир расонад.	ғизои дуруст худ аз худ наметавонад ба нишондиҳандаҳои элита оварда расонад аммо метавонад ба аҳволи умумии варзишгарони ҷавон ба таври назаррас таъсир расонад	ғ и з о и | д у р у с т | х у д | а з | х у д | н а м е т а в о н а д | б а | н и ш о н д и ҳ а н д а ҳ о и | э л и т а | о в а р д а | р а с о н а д | а м м о | м е т а в о н а д | б а | а ҳ в о л и | у м у м и и | в а р з и ш г а р о н и | ҷ а в о н | б а | т а в р и | н а з а р р а с | т а ъ с и р | р а с о н а д |	244800	FEMALE
1496	2801192526165583057.wav	Маъмулан барои дохилшавӣ ба барномаҳои таълимии мазкур одатан ҳаққи таҳсил ситонида мешавад.	маъмулан барои дохилшавӣ ба барномаҳои таълимии мазкур одатан ҳаққи таҳсил ситонида мешавад	м а ъ м у л а н | б а р о и | д о х и л ш а в ӣ | б а | б а р н о м а ҳ о и | т а ъ л и м и и | м а з к у р | о д а т а н | ҳ а қ қ и | т а ҳ с и л | с и т о н и д а | м е ш а в а д |	124800	FEMALE
834	9467764492151426422.wav	Барои ин зарурияти пур кардани шакли махсус дар полиси маҳаллӣ ё ин ки ташриф овардан ба хадамоти муҳоҷиратӣ ба миён меояд.	барои ин зарурияти пур кардани шакли махсус дар полиси маҳаллӣ ё ин ки ташриф овардан ба хадамоти муҳоҷиратӣ ба миён меояд	б а р о и | и н | з а р у р и я т и | п у р | к а р д а н и | ш а к л и | м а х с у с | д а р | п о л и с и | м а ҳ а л л ӣ | ё | и н | к и | т а ш р и ф | о в а р д а н | б а | х а д а м о т и | м у ҳ о ҷ и р а т ӣ | б а | м и ё н | м е о я д |	175680	FEMALE
1370	14470351776131138428.wav	Чемберс, агностик буда, мунозира мекунад, ки мурофиааш "камарзиш" мебошад ва "ҳар кас метавонад ҳар нафарро ба суд кашад".	чемберс агностик буда мунозира мекунад ки мурофиааш камарзиш мебошад ва ҳар кас метавонад ҳар нафарро ба суд кашад	ч е м б е р с | а г н о с т и к | б у д а | м у н о з и р а | м е к у н а д | к и | м у р о ф и а а ш | к а м а р з и ш | м е б о ш а д | в а | ҳ а р | к а с | м е т а в о н а д | ҳ а р | н а ф а р р о | б а | с у д | к а ш а д |	160320	MALE
1040	10645691380089226299.wav	Ҳамаи даромадгоҳҳои ғор, ки «Ҳафт хоҳар» номгузорӣ шуда буданд, ҳадди аққал аз 100 то 250 метр (аз 328 то 820 фут) диаметр доранд.	ҳамаи даромадгоҳҳои ғор ки «ҳафт хоҳар» номгузорӣ шуда буданд ҳадди аққал аз 100 то 250 метр аз 328 то 820 фут диаметр доранд	ҳ а м а и | д а р о м а д г о ҳ ҳ о и | ғ о р | к и | « ҳ а ф т | х о ҳ а р » | н о м г у з о р ӣ | ш у д а | б у д а н д | ҳ а д д и | а қ қ а л | а з | 1 0 0 | т о | 2 5 0 | м е т р | а з | 3 2 8 | т о | 8 2 0 | ф у т | д и а м е т р | д о р а н д |	192960	FEMALE
1076	2601636295352859407.wav	Яке аз декларатсияҳо рӯзи 6 июл ба Ҷорҷ Вашингтон фиристода шуд, ки 9 июл онро дар ҳузури сарбозони Ню Йорк хонд. Нусхаи он рӯзи 10 август ба Лондон дастрас гардид.	яке аз декларатсияҳо рӯзи 6 июл ба ҷорҷ вашингтон фиристода шуд ки 9 июл онро дар ҳузури сарбозони ню йорк хонд нусхаи он рӯзи 10 август ба лондон дастрас гардид	я к е | а з | д е к л а р а т с и я ҳ о | р ӯ з и | 6 | и ю л | б а | ҷ о р ҷ | в а ш и н г т о н | ф и р и с т о д а | ш у д | к и | 9 | и ю л | о н р о | д а р | ҳ у з у р и | с а р б о з о н и | н ю | й о р к | х о н д | н у с х а и | о н | р ӯ з и | 1 0 | а в г у с т | б а | л о н д о н | д а с т р а с | г а р д и д |	265920	FEMALE
214	255590457035959491.wav	Ҳамзамон, 100 нафар шаҳрвандон аз ин минтақа кӯчонида шудаанд.	ҳамзамон 100 нафар шаҳрвандон аз ин минтақа кӯчонида шудаанд	ҳ а м з а м о н | 1 0 0 | н а ф а р | ш а ҳ р в а н д о н | а з | и н | м и н т а қ а | к ӯ ч о н и д а | ш у д а а н д |	116160	FEMALE
1073	5461295404539779093.wav	Ҳодисаҳои шубҳаноки H5N1 дар Хорватия ва Дания тасдиқнашуда боқӣ мемонанд.	ҳодисаҳои шубҳаноки h5n1 дар хорватия ва дания тасдиқнашуда боқӣ мемонанд	ҳ о д и с а ҳ о и | ш у б ҳ а н о к и | h 5 n 1 | д а р | х о р в а т и я | в а | д а н и я | т а с д и қ н а ш у д а | б о қ ӣ | м е м о н а н д |	136320	MALE
730	1333892685188080050.wav	Боуэн Айленд макони хуб барои сафар дар як рӯз ё экскурсия дар рӯзҳои истироҳатӣ мебошад, ки заврақронӣ, сайру гашт, харидкунӣ, тарабхонаҳо ва ғайраҳоро пешкаш мекунад.	боуэн айленд макони хуб барои сафар дар як рӯз ё экскурсия дар рӯзҳои истироҳатӣ мебошад ки заврақронӣ сайру гашт харидкунӣ тарабхонаҳо ва ғайраҳоро пешкаш мекунад	б о у э н | а й л е н д | м а к о н и | х у б | б а р о и | с а ф а р | д а р | я к | р ӯ з | ё | э к с к у р с и я | д а р | р ӯ з ҳ о и | и с т и р о ҳ а т ӣ | м е б о ш а д | к и | з а в р а қ р о н ӣ | с а й р у | г а ш т | х а р и д к у н ӣ | т а р а б х о н а ҳ о | в а | ғ а й р а ҳ о р о | п е ш к а ш | м е к у н а д |	272640	FEMALE
134	3301113202955101052.wav	Аломат ҷисман осеб надидааст; тағйирот бо истифодаи брезентҳои сиёҳи бо нишонаҳои сулҳ ва дил оро додашуда, барои тағйир додани ҳарфи "O" бо ҳарфи хурди "e" сурат гирифт.	аломат ҷисман осеб надидааст тағйирот бо истифодаи брезентҳои сиёҳи бо нишонаҳои сулҳ ва дил оро додашуда барои тағйир додани ҳарфи o бо ҳарфи хурди e сурат гирифт	а л о м а т | ҷ и с м а н | о с е б | н а д и д а а с т | т а ғ й и р о т | б о | и с т и ф о д а и | б р е з е н т ҳ о и | с и ё ҳ и | б о | н и ш о н а ҳ о и | с у л ҳ | в а | д и л | о р о | д о д а ш у д а | б а р о и | т а ғ й и р | д о д а н и | ҳ а р ф и | o | б о | ҳ а р ф и | х у р д и | e | с у р а т | г и р и ф т |	360960	FEMALE
171	11973848454722346162.wav	Губернатор ҳамчунин иброз дошт: "Имрӯз мо фаҳмидем, ки баъзе кӯдакони синни мактабӣ муайян карда шудаанд, ки бо бемор тамос доштанд".	губернатор ҳамчунин иброз дошт имрӯз мо фаҳмидем ки баъзе кӯдакони синни мактабӣ муайян карда шудаанд ки бо бемор тамос доштанд	г у б е р н а т о р | ҳ а м ч у н и н | и б р о з | д о ш т | и м р ӯ з | м о | ф а ҳ м и д е м | к и | б а ъ з е | к ӯ д а к о н и | с и н н и | м а к т а б ӣ | м у а й я н | к а р д а | ш у д а а н д | к и | б о | б е м о р | т а м о с | д о ш т а н д |	161280	MALE
420	9755257995554573404.wav	Забонҳои ҳиндӣ ва урду аз ҷиҳати луғат ба ҳам монанд мебошанд, аммо аз рӯи алифбо гуногунанд; дар гуфтугӯҳои ҳаррӯза маъмулан соҳибони ҳарду забон якдигарро фаҳмида метавонанд.	забонҳои ҳиндӣ ва урду аз ҷиҳати луғат ба ҳам монанд мебошанд аммо аз рӯи алифбо гуногунанд дар гуфтугӯҳои ҳаррӯза маъмулан соҳибони ҳарду забон якдигарро фаҳмида метавонанд	з а б о н ҳ о и | ҳ и н д ӣ | в а | у р д у | а з | ҷ и ҳ а т и | л у ғ а т | б а | ҳ а м | м о н а н д | м е б о ш а н д | а м м о | а з | р ӯ и | а л и ф б о | г у н о г у н а н д | д а р | г у ф т у г ӯ ҳ о и | ҳ а р р ӯ з а | м а ъ м у л а н | с о ҳ и б о н и | ҳ а р д у | з а б о н | я к д и г а р р о | ф а ҳ м и д а | м е т а в о н а н д |	270720	FEMALE
448	3062772552544867333.wav	Соли 1981, Ванда Мисс Ҷаквим, гибридии сӯҳлаб, ҳамчун гули миллӣ интихоб гардид.	соли 1981 ванда мисс ҷаквим гибридии сӯҳлаб ҳамчун гули миллӣ интихоб гардид	с о л и | 1 9 8 1 | в а н д а | м и с с | ҷ а к в и м | г и б р и д и и | с ӯ ҳ л а б | ҳ а м ч у н | г у л и | м и л л ӣ | и н т и х о б | г а р д и д |	192000	FEMALE
