456	4136832718535352191.wav	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا.	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا	ا ه و | م س ئ ل و | گ ه ٽ | ٿ ي ن د و | پ ي و | و ڃ ي | ڇ و | ت ہ | ل ي ن س | ٺ ا ه ي ن د ڙ | ل ي ن س | ج ي | پ ئ د ا و ا ر | ۾ | ا ع ل ي ٰ | م ع ي ا ر | ح ا ص ل | ڪ ن | ٿ ا |	109440	FEMALE
149	3631668657207816337.wav	ڪمپني هنگامي مدد UK حڪومت کان ورتي هئي هن پڌرائي کانپوءِ نارڌرن راڪ بئنڪ کي 2008 ۾ قومي ملڪيت جو حصو بڻايو ويو هو.	ڪمپني هنگامي مدد uk حڪومت کان ورتي هئي هن پڌرائي کانپوءِ نارڌرن راڪ بئنڪ کي 2008 ۾ قومي ملڪيت جو حصو بڻايو ويو هو	ڪ م پ ن ي | ه ن گ ا م ي | م د د | u k | ح ڪ و م ت | ک ا ن | و ر ت ي | ه ئ ي | ه ن | پ ڌ ر ا ئ ي | ک ا ن پ و ء ِ | ن ا ر ڌ ر ن | ر ا ڪ | ب ئ ن ڪ | ک ي | 2 0 0 8 | ۾ | ق و م ي | م ل ڪ ي ت | ج و | ح ص و | ب ڻ ا ي و | و ي و | ه و |	178560	MALE
1080	15697363149502348989.wav	ڪيملي سينٽ سينز فرانسيسي اوپيرا ۾ پيش ڪيل ڪهاڻي هڪ فنڪار جي آهي "جنهن جي زندگي منشيات ۽ جاپان سان پيار تي بيان ڪيل آهي."	ڪيملي سينٽ سينز فرانسيسي اوپيرا ۾ پيش ڪيل ڪهاڻي هڪ فنڪار جي آهي جنهن جي زندگي منشيات ۽ جاپان سان پيار تي بيان ڪيل آهي	ڪ ي م ل ي | س ي ن ٽ | س ي ن ز | ف ر ا ن س ي س ي | ا و پ ي ر ا | ۾ | پ ي ش | ڪ ي ل | ڪ ه ا ڻ ي | ه ڪ | ف ن ڪ ا ر | ج ي | آ ه ي | ج ن ه ن | ج ي | ز ن د گ ي | م ن ش ي ا ت | ۽ | ج ا پ ا ن | س ا ن | پ ي ا ر | ت ي | ب ي ا ن | ڪ ي ل | آ ه ي |	211200	MALE
447	12582172324828144383.wav	پهريان قوم جي آزادي ۾، سنگاپور بوٽينڪ گارڊن جي مهارت هن ٻيٽ کي ٽروپيڪل گارڊن شهر ۾ تبديل ڪرڻ ۾ مدد ڪئي.	پهريان قوم جي آزادي ۾ سنگاپور بوٽينڪ گارڊن جي مهارت هن ٻيٽ کي ٽروپيڪل گارڊن شهر ۾ تبديل ڪرڻ ۾ مدد ڪئي	پ ه ر ي ا ن | ق و م | ج ي | آ ز ا د ي | ۾ | س ن گ ا پ و ر | ب و ٽ ي ن ڪ | گ ا ر ڊ ن | ج ي | م ه ا ر ت | ه ن | ٻ ي ٽ | ک ي | ٽ ر و پ ي ڪ ل | گ ا ر ڊ ن | ش ه ر | ۾ | ت ب د ي ل | ڪ ر ڻ | ۾ | م د د | ڪ ئ ي |	191040	FEMALE
864	13696850580146325941.wav	پڻ، گرم موسم ۾ بيڪٽيريا ٻئي وڌيڪ تيزي سان وڌي ويندا آهن ۽ جسم کان ٻاهر ڊگهي عرصي تائين زنده رهن ٿا.	پڻ گرم موسم ۾ بيڪٽيريا ٻئي وڌيڪ تيزي سان وڌي ويندا آهن ۽ جسم کان ٻاهر ڊگهي عرصي تائين زنده رهن ٿا	پ ڻ | گ ر م | م و س م | ۾ | ب ي ڪ ٽ ي ر ي ا | ٻ ئ ي | و ڌ ي ڪ | ت ي ز ي | س ا ن | و ڌ ي | و ي ن د ا | آ ه ن | ۽ | ج س م | ک ا ن | ٻ ا ه ر | ڊ گ ه ي | ع ر ص ي | ت ا ئ ي ن | ز ن د ه | ر ه ن | ٿ ا |	194880	FEMALE
460	415136265317280466.wav	ڪنهن مووي کي DVD فارميٽ ۾ تبديل ڪرڻ جي ڪوشش ڪرڻ مهل سڀني کان وڌيڪ عام مسئلن مان هڪ اوور اسڪين آهي.	ڪنهن مووي کي dvd فارميٽ ۾ تبديل ڪرڻ جي ڪوشش ڪرڻ مهل سڀني کان وڌيڪ عام مسئلن مان هڪ اوور اسڪين آهي	ڪ ن ه ن | م و و ي | ک ي | d v d | ف ا ر م ي ٽ | ۾ | ت ب د ي ل | ڪ ر ڻ | ج ي | ڪ و ش ش | ڪ ر ڻ | م ه ل | س ڀ ن ي | ک ا ن | و ڌ ي ڪ | ع ا م | م س ئ ل ن | م ا ن | ه ڪ | ا و و ر | ا س ڪ ي ن | آ ه ي |	183360	MALE
393	15679577087981861699.wav	فرانس لاءِ جنگ ختم ٿيڻ تي، جرمني برطانوي ٻيٽ تي حملو ڪرڻ لاءِ تيار ڪرڻ شروع ڪري ڇڏي.	فرانس لاءِ جنگ ختم ٿيڻ تي جرمني برطانوي ٻيٽ تي حملو ڪرڻ لاءِ تيار ڪرڻ شروع ڪري ڇڏي	ف ر ا ن س | ل ا ء ِ | ج ن گ | خ ت م | ٿ ي ڻ | ت ي | ج ر م ن ي | ب ر ط ا ن و ي | ٻ ي ٽ | ت ي | ح م ل و | ڪ ر ڻ | ل ا ء ِ | ت ي ا ر | ڪ ر ڻ | ش ر و ع | ڪ ر ي | ڇ ڏ ي |	132480	MALE
702	3006021116936130642.wav	ڪيوبا جا شهري جيڪي آمريڪا جي گرين ڪارڊ هولڊر آهن انهن کي هن ضرورت کان استثنا حاصل ڪرڻ لاءِ اڪواڊورين قونصليٽ جو دورو ڪرڻ گهرجي.	ڪيوبا جا شهري جيڪي آمريڪا جي گرين ڪارڊ هولڊر آهن انهن کي هن ضرورت کان استثنا حاصل ڪرڻ لاءِ اڪواڊورين قونصليٽ جو دورو ڪرڻ گهرجي	ڪ ي و ب ا | ج ا | ش ه ر ي | ج ي ڪ ي | آ م ر ي ڪ ا | ج ي | گ ر ي ن | ڪ ا ر ڊ | ه و ل ڊ ر | آ ه ن | ا ن ه ن | ک ي | ه ن | ض ر و ر ت | ک ا ن | ا س ت ث ن ا | ح ا ص ل | ڪ ر ڻ | ل ا ء ِ | ا ڪ و ا ڊ و ر ي ن | ق و ن ص ل ي ٽ | ج و | د و ر و | ڪ ر ڻ | گ ه ر ج ي |	182400	MALE
278	13909309568486510897.wav	میسوچُوسٽس جي اڳوڻي گورنر مِٽ رومني فلوريڊا اڱاري جي ڏينهن تي ريپبليڪن پارٽي جي صدارتي پرائمري اليڪشن 46 سيڪڙو ووٽن سان ڪاميابي حاصل ڪئي.	ميسوچُوسٽس جي اڳوڻي گورنر مِٽ رومني فلوريڊا اڱاري جي ڏينهن تي ريپبليڪن پارٽي جي صدارتي پرائمري اليڪشن 46 سيڪڙو ووٽن سان ڪاميابي حاصل ڪئي	م ي س و چ ُ و س ٽ س | ج ي | ا ڳ و ڻ ي | گ و ر ن ر | م ِ ٽ | ر و م ن ي | ف ل و ر ي ڊ ا | ا ڱ ا ر ي | ج ي | ڏ ي ن ه ن | ت ي | ر ي پ ب ل ي ڪ ن | پ ا ر ٽ ي | ج ي | ص د ا ر ت ي | پ ر ا ئ م ر ي | ا ل ي ڪ ش ن | 4 6 | س ي ڪ ڙ و | و و ٽ ن | س ا ن | ڪ ا م ي ا ب ي | ح ا ص ل | ڪ ئ ي |	240960	FEMALE
411	4064190280349305588.wav	رم واري ڦيٿي جي ايجاد اسيرين جي رٿن کي هلڪو، تيز، ۽ فوجين ۽ ٻين رٿن کي هلائڻ لاءِ بهتر تيار ڪيو.	رم واري ڦيٿي جي ايجاد اسيرين جي رٿن کي هلڪو تيز ۽ فوجين ۽ ٻين رٿن کي هلائڻ لاءِ بهتر تيار ڪيو	ر م | و ا ر ي | ڦ ي ٿ ي | ج ي | ا ي ج ا د | ا س ي ر ي ن | ج ي | ر ٿ ن | ک ي | ه ل ڪ و | ت ي ز | ۽ | ف و ج ي ن | ۽ | ٻ ي ن | ر ٿ ن | ک ي | ه ل ا ئ ڻ | ل ا ء ِ | ب ه ت ر | ت ي ا ر | ڪ ي و |	182400	MALE
986	7470564601984476917.wav	گهڻن ماڻهن اهڙن ماڻهن کي شامل ڪيو آهي جيڪو پولٽري سان ڪم ڪري ٿو، پر پکي ڏسندڙن کي ڪجهہ خطرو ٿي سگهي ٿو.	گهڻن ماڻهن اهڙن ماڻهن کي شامل ڪيو آهي جيڪو پولٽري سان ڪم ڪري ٿو پر پکي ڏسندڙن کي ڪجهہ خطرو ٿي سگهي ٿو	گ ه ڻ ن | م ا ڻ ه ن | ا ه ڙ ن | م ا ڻ ه ن | ک ي | ش ا م ل | ڪ ي و | آ ه ي | ج ي ڪ و | پ و ل ٽ ر ي | س ا ن | ڪ م | ڪ ر ي | ٿ و | پ ر | پ ک ي | ڏ س ن د ڙ ن | ک ي | ڪ ج ه ہ | خ ط ر و | ٿ ي | س گ ه ي | ٿ و |	153600	FEMALE
217	947139315992399027.wav	اسڪواش، ڪراٽي ۽ رولر راندين کي اولمپڪ پروگرام سان گڏ بيس بال ۽ سافٽ بال ۾ پڻ وٺي اچڻ جي ڪوشش ڪئي، انهن کي 2005 ۾ اولمپڪ راندين ۾ ووٽ ڏنو ويو هو.	اسڪواش ڪراٽي ۽ رولر راندين کي اولمپڪ پروگرام سان گڏ بيس بال ۽ سافٽ بال ۾ پڻ وٺي اچڻ جي ڪوشش ڪئي انهن کي 2005 ۾ اولمپڪ راندين ۾ ووٽ ڏنو ويو هو	ا س ڪ و ا ش | ڪ ر ا ٽ ي | ۽ | ر و ل ر | ر ا ن د ي ن | ک ي | ا و ل م پ ڪ | پ ر و گ ر ا م | س ا ن | گ ڏ | ب ي س | ب ا ل | ۽ | س ا ف ٽ | ب ا ل | ۾ | پ ڻ | و ٺ ي | ا چ ڻ | ج ي | ڪ و ش ش | ڪ ئ ي | ا ن ه ن | ک ي | 2 0 0 5 | ۾ | ا و ل م پ ڪ | ر ا ن د ي ن | ۾ | و و ٽ | ڏ ن و | و ي و | ه و |	237120	MALE
1484	7020945875957172327.wav	آخرڪار، هزارين يا لکين سالن کان پوءِ، ٻه پرجاتيون تمام مختلف نظر اينديون ته انهن کي ساڳيو نسل نٿو سڏجي سگهي.	آخرڪار هزارين يا لکين سالن کان پوءِ ٻه پرجاتيون تمام مختلف نظر اينديون ته انهن کي ساڳيو نسل نٿو سڏجي سگهي	آ خ ر ڪ ا ر | ه ز ا ر ي ن | ي ا | ل ک ي ن | س ا ل ن | ک ا ن | پ و ء ِ | ٻ ه | پ ر ج ا ت ي و ن | ت م ا م | م خ ت ل ف | ن ظ ر | ا ي ن د ي و ن | ت ه | ا ن ه ن | ک ي | س ا ڳ ي و | ن س ل | ن ٿ و | س ڏ ج ي | س گ ه ي |	171840	FEMALE
1291	8361816912494051588.wav	ڪميونٽي جي چڙ سائيٽن لاءِ جنسي مواد جي بابت هڪ پاليسي تيار ڪرڻ جي هاڻوڪي ڪوشش جي ڪري ٿي جيڪا لکين ظاهري طور تي لائسنس حاصل ڪندڙ ميڊيا جي ميزباني ڪري ٿي.	ڪميونٽي جي چڙ سائيٽن لاءِ جنسي مواد جي بابت هڪ پاليسي تيار ڪرڻ جي هاڻوڪي ڪوشش جي ڪري ٿي جيڪا لکين ظاهري طور تي لائسنس حاصل ڪندڙ ميڊيا جي ميزباني ڪري ٿي	ڪ م ي و ن ٽ ي | ج ي | چ ڙ | س ا ئ ي ٽ ن | ل ا ء ِ | ج ن س ي | م و ا د | ج ي | ب ا ب ت | ه ڪ | پ ا ل ي س ي | ت ي ا ر | ڪ ر ڻ | ج ي | ه ا ڻ و ڪ ي | ڪ و ش ش | ج ي | ڪ ر ي | ٿ ي | ج ي ڪ ا | ل ک ي ن | ظ ا ه ر ي | ط و ر | ت ي | ل ا ئ س ن س | ح ا ص ل | ڪ ن د ڙ | م ي ڊ ي ا | ج ي | م ي ز ب ا ن ي | ڪ ر ي | ٿ ي |	284160	MALE
25	12020247554331952628.wav	هن واشنگٽن جي 5-3 ون اوور ايٽلانٽا ٿريشرز ۾ 2 گول ۽ 2 اسسٽنٽ ڪيا.	هن واشنگٽن جي 5-3 ون اوور ايٽلانٽا ٿريشرز ۾ 2 گول ۽ 2 اسسٽنٽ ڪيا	ه ن | و ا ش ن گ ٽ ن | ج ي | 5 - 3 | و ن | ا و و ر | ا ي ٽ ل ا ن ٽ ا | ٿ ر ي ش ر ز | ۾ | 2 | گ و ل | ۽ | 2 | ا س س ٽ ن ٽ | ڪ ي ا |	155520	MALE
108	4576968364158746729.wav	جڏهن ڪئپسول صبح 5 وڳي (مشرقي وقت) زمين تي پهچي ٿو ۽ فضا ۾ داخل ٿي ٿو ته، اتر ڪيليفورنيا، اوريگون نيواڊا، ۽ يوٽها ۾ ماڻهن جي لاءِ لائٽ شو پيش ڪرڻ جي اميد ڪئي وڃي ٿي.	جڏهن ڪئپسول صبح 5 وڳي مشرقي وقت زمين تي پهچي ٿو ۽ فضا ۾ داخل ٿي ٿو ته، اتر ڪيليفورنيا، اوريگون نيواڊا، ۽ يوٽها ۾ ماڻهن جي لاءِ لائٽ شو پيش ڪرڻ جي اميد ڪئي وڃي ٿي	ج ڏ ه ن | ڪ ئ پ س و ل | ص ب ح | 5 | و ڳ ي | م ش ر ق ي | و ق ت | ز م ي ن | ت ي | پ ه چ ي | ٿ و | ۽ | ف ض ا | ۾ | د ا خ ل | ٿ ي | ٿ و | ت ه ، | ا ت ر | ڪ ي ل ي ف و ر ن ي ا ، | ا و ر ي گ و ن | ن ي و ا ڊ ا ، | ۽ | ي و ٽ ه ا | ۾ | م ا ڻ ه ن | ج ي | ل ا ء ِ | ل ا ئ ٽ | ش و | پ ي ش | ڪ ر ڻ | ج ي | ا م ي د | ڪ ئ ي | و ڃ ي | ٿ ي |	393600	MALE
560	559137628363997456.wav	پروٽان جو هڪ واڌو اليڪٽرڪ چارج هوندو آهي جڏهن تہ نيوٽران جو ڪو بہ چارج نہ هوندو آهي. اليڪٽران جو هڪ ڪاٽو اليڪٽرڪ چارج هوندو آهي.	پروٽان جو هڪ واڌو اليڪٽرڪ چارج هوندو آهي جڏهن تہ نيوٽران جو ڪو بہ چارج نہ هوندو آهي اليڪٽران جو هڪ ڪاٽو اليڪٽرڪ چارج هوندو آهي	پ ر و ٽ ا ن | ج و | ه ڪ | و ا ڌ و | ا ل ي ڪ ٽ ر ڪ | چ ا ر ج | ه و ن د و | آ ه ي | ج ڏ ه ن | ت ہ | ن ي و ٽ ر ا ن | ج و | ڪ و | ب ہ | چ ا ر ج | ن ہ | ه و ن د و | آ ه ي | ا ل ي ڪ ٽ ر ا ن | ج و | ه ڪ | ڪ ا ٽ و | ا ل ي ڪ ٽ ر ڪ | چ ا ر ج | ه و ن د و | آ ه ي |	187200	FEMALE
104	16772054271516100165.wav	ٽيلي ويزن تي لائيو تبصرا پهرين ڀيرو ٿيا هئا جڏهن ايران جي سينيئر عملدار اهو مڃيو تہ پابندين جو ڪو اثر ٿي رهيو آهي.	ٽيلي ويزن تي لائيو تبصرا پهرين ڀيرو ٿيا هئا جڏهن ايران جي سينيئر عملدار اهو مڃيو تہ پابندين جو ڪو اثر ٿي رهيو آهي	ٽ ي ل ي | و ي ز ن | ت ي | ل ا ئ ي و | ت ب ص ر ا | پ ه ر ي ن | ڀ ي ر و | ٿ ي ا | ه ئ ا | ج ڏ ه ن | ا ي ر ا ن | ج ي | س ي ن ي ئ ر | ع م ل د ا ر | ا ه و | م ڃ ي و | ت ہ | پ ا ب ن د ي ن | ج و | ڪ و | ا ث ر | ٿ ي | ر ه ي و | آ ه ي |	271680	MALE
158	12931636970694885554.wav	ڊوڙ جي پيروي ڪندي، ڪيسيلسوڪي 2،250 پوائنٽن سان ڊرائيورن جو چيمپين شپ ليڊر رَهي ٿو.	ڊوڙ جي پيروي ڪندي، ڪيسيلسوڪي 2،250 پوائنٽن سان ڊرائيورن جو چيمپين شپ ليڊر رَهي ٿو	ڊ و ڙ | ج ي | پ ي ر و ي | ڪ ن د ي ، | ڪ ي س ي ل س و ڪ ي | 2 ، 2 5 0 | پ و ا ئ ن ٽ ن | س ا ن | ڊ ر ا ئ ي و ر ن | ج و | چ ي م پ ي ن | ش پ | ل ي ڊ ر | ر َ ه ي | ٿ و |	185280	FEMALE
471	15684071698552497492.wav	طاقت جي برابري هڪ اهڙو نظام هو جنهن ۾ يورپي قومن سڀني يورپي رياستن کي قومي خودمختياري برقرار رکڻ جي ڪوشش ڪئي هئي.	طاقت جي برابري هڪ اهڙو نظام هو جنهن ۾ يورپي قومن سڀني يورپي رياستن کي قومي خودمختياري برقرار رکڻ جي ڪوشش ڪئي هئي	ط ا ق ت | ج ي | ب ر ا ب ر ي | ه ڪ | ا ه ڙ و | ن ظ ا م | ه و | ج ن ه ن | ۾ | ي و ر پ ي | ق و م ن | س ڀ ن ي | ي و ر پ ي | ر ي ا س ت ن | ک ي | ق و م ي | خ و د م خ ت ي ا ر ي | ب ر ق ر ا ر | ر ک ڻ | ج ي | ڪ و ش ش | ڪ ئ ي | ه ئ ي |	198720	MALE
696	5408729888733455375.wav	شهر هڪ خدا کي مڃيندڙ ٽنهي مذهب - يهودي، عيسائي ۽ اسلام لاءِ پاڪ آهي، ۽ روحاني، مذهبي ۽ ثقافتي مرڪز جو طور تي ڪم ڪري ٿو.	شهر هڪ خدا کي مڃيندڙ ٽنهي مذهب يهودي عيسائي ۽ اسلام لاءِ پاڪ آهي ۽ روحاني مذهبي ۽ ثقافتي مرڪز جو طور تي ڪم ڪري ٿو	ش ه ر | ه ڪ | خ د ا | ک ي | م ڃ ي ن د ڙ | ٽ ن ه ي | م ذ ه ب | ي ه و د ي | ع ي س ا ئ ي | ۽ | ا س ل ا م | ل ا ء ِ | پ ا ڪ | آ ه ي | ۽ | ر و ح ا ن ي | م ذ ه ب ي | ۽ | ث ق ا ف ت ي | م ر ڪ ز | ج و | ط و ر | ت ي | ڪ م | ڪ ر ي | ٿ و |	209280	FEMALE
72	1964883119031013439.wav	مشهور يوناني وڪيل، ساڪس ڪيچاگيوگلو ۽ جارج نڪولاڪوپولوس کي ايٿنز جي جيل ۾ قيد ڪيو ويو آهي، ڇو تہ انهن تي رشوت خوري ۽ بدعنواني جو ڏوه ثابت ٿيو هو.	مشهور يوناني وڪيل ساڪس ڪيچاگيوگلو ۽ جارج نڪولاڪوپولوس کي ايٿنز جي جيل ۾ قيد ڪيو ويو آهي ڇو تہ انهن تي رشوت خوري ۽ بدعنواني جو ڏوه ثابت ٿيو هو	م ش ه و ر | ي و ن ا ن ي | و ڪ ي ل | س ا ڪ س | ڪ ي چ ا گ ي و گ ل و | ۽ | ج ا ر ج | ن ڪ و ل ا ڪ و پ و ل و س | ک ي | ا ي ٿ ن ز | ج ي | ج ي ل | ۾ | ق ي د | ڪ ي و | و ي و | آ ه ي | ڇ و | ت ہ | ا ن ه ن | ت ي | ر ش و ت | خ و ر ي | ۽ | ب د ع ن و ا ن ي | ج و | ڏ و ه | ث ا ب ت | ٿ ي و | ه و |	233280	FEMALE
1129	1743149134590602942.wav	U.S. صدر جارج ڊبليو بش ايشيا جي هڪ هفتي جي دوري جو آغاز ڪندي 16 نومبر جي صبح جو سنگاپور پور پهتو.	u.s. صدر جارج ڊبليو بش ايشيا جي هڪ هفتي جي دوري جو آغاز ڪندي 16 نومبر جي صبح جو سنگاپور پور پهتو	u . s . | ص د ر | ج ا ر ج | ڊ ب ل ي و | ب ش | ا ي ش ي ا | ج ي | ه ڪ | ه ف ت ي | ج ي | د و ر ي | ج و | آ غ ا ز | ڪ ن د ي | 1 6 | ن و م ب ر | ج ي | ص ب ح | ج و | س ن گ ا پ و ر | پ و ر | پ ه ت و |	189120	MALE
129	1203526566151969617.wav	فنڪاراڻي تقريب بخاريسٽ سٽي هال جي هڪ مهم جو حصو پڻ هو جيڪو رومانيا جي گادي واري هنڌ جي تصوير کي تخليقي ۽ رنگ برنگي شهر جي طور تي ٻيهر لانچ ڪرڻ جي ڪوشش ڪري ٿي.	فنڪاراڻي تقريب بخاريسٽ سٽي هال جي هڪ مهم جو حصو پڻ هو جيڪو رومانيا جي گادي واري هنڌ جي تصوير کي تخليقي ۽ رنگ برنگي شهر جي طور تي ٻيهر لانچ ڪرڻ جي ڪوشش ڪري ٿي	ف ن ڪ ا ر ا ڻ ي | ت ق ر ي ب | ب خ ا ر ي س ٽ | س ٽ ي | ه ا ل | ج ي | ه ڪ | م ه م | ج و | ح ص و | پ ڻ | ه و | ج ي ڪ و | ر و م ا ن ي ا | ج ي | گ ا د ي | و ا ر ي | ه ن ڌ | ج ي | ت ص و ي ر | ک ي | ت خ ل ي ق ي | ۽ | ر ن گ | ب ر ن گ ي | ش ه ر | ج ي | ط و ر | ت ي | ٻ ي ه ر | ل ا ن چ | ڪ ر ڻ | ج ي | ڪ و ش ش | ڪ ر ي | ٿ ي |	239040	MALE
325	10927401016900939161.wav	ميامي، فلوريڊا کان طوفان لڳ ڀڳ 3،000 ميل پري آهي، ان جي مسلسل هوائن جي رفتار 40 ميل في ڪلاڪ (64 ڪلوميٽر في ڪلاڪ) آهي.	ميامي، فلوريڊا کان طوفان لڳ ڀڳ 3،000 ميل پري آهي، ان جي مسلسل هوائن جي رفتار 40 ميل في ڪلاڪ 64 ڪلوميٽر في ڪلاڪ آهي	م ي ا م ي ، | ف ل و ر ي ڊ ا | ک ا ن | ط و ف ا ن | ل ڳ | ڀ ڳ | 3 ، 0 0 0 | م ي ل | پ ر ي | آ ه ي ، | ا ن | ج ي | م س ل س ل | ه و ا ئ ن | ج ي | ر ف ت ا ر | 4 0 | م ي ل | ف ي | ڪ ل ا ڪ | 6 4 | ڪ ل و م ي ٽ ر | ف ي | ڪ ل ا ڪ | آ ه ي |	219840	FEMALE
1349	3966877435353706515.wav	حادثي واري هنڌ کي ڳولڻ جون ڪوششون خراب موسم ۽ ٽڪريلي خطي سان ملي رهيون آهن.	حادثي واري هنڌ کي ڳولڻ جون ڪوششون خراب موسم ۽ ٽڪريلي خطي سان ملي رهيون آهن	ح ا د ث ي | و ا ر ي | ه ن ڌ | ک ي | ڳ و ل ڻ | ج و ن | ڪ و ش ش و ن | خ ر ا ب | م و س م | ۽ | ٽ ڪ ر ي ل ي | خ ط ي | س ا ن | م ل ي | ر ه ي و ن | آ ه ن |	127680	FEMALE
574	11958748856153714624.wav	نوميڊڪ مرحلي ۾، فوج اينٽ رات جو مارچ ڪندي آهي ۽ ڏينهن جو ڪئمپ تي رهي ٿي.	نوميڊڪ مرحلي ۾ فوج اينٽ رات جو مارچ ڪندي آهي ۽ ڏينهن جو ڪئمپ تي رهي ٿي	ن و م ي ڊ ڪ | م ر ح ل ي | ۾ | ف و ج | ا ي ن ٽ | ر ا ت | ج و | م ا ر چ | ڪ ن د ي | آ ه ي | ۽ | ڏ ي ن ه ن | ج و | ڪ ئ م پ | ت ي | ر ه ي | ٿ ي |	163200	MALE
1151	8379691400836966013.wav	اهو ڪيترين ئي بيمارين ۾ علامتي علاج وانگر آهي. تنهن هوندي جيڪڏهن اسان صرف عارض حل نٿا چاهيون، پر اسان کي مسئلن جو بنيادي ڪارڻ ڳولهڻ گهرجي، ۽ اسان کي انهن کي غير فعال ڪرڻ گهرجي.	اهو ڪيترين ئي بيمارين ۾ علامتي علاج وانگر آهي تنهن هوندي جيڪڏهن اسان صرف عارض حل نٿا چاهيون پر اسان کي مسئلن جو بنيادي ڪارڻ ڳولهڻ گهرجي ۽ اسان کي انهن کي غير فعال ڪرڻ گهرجي	ا ه و | ڪ ي ت ر ي ن | ئ ي | ب ي م ا ر ي ن | ۾ | ع ل ا م ت ي | ع ل ا ج | و ا ن گ ر | آ ه ي | ت ن ه ن | ه و ن د ي | ج ي ڪ ڏ ه ن | ا س ا ن | ص ر ف | ع ا ر ض | ح ل | ن ٿ ا | چ ا ه ي و ن | پ ر | ا س ا ن | ک ي | م س ئ ل ن | ج و | ب ن ي ا د ي | ڪ ا ر ڻ | ڳ و ل ه ڻ | گ ه ر ج ي | ۽ | ا س ا ن | ک ي | ا ن ه ن | ک ي | غ ي ر | ف ع ا ل | ڪ ر ڻ | گ ه ر ج ي |	310080	MALE
285	1227072388336964810.wav	گذريل مهيني پولينڊ ۾ گهڻا احتجاج ٿيا جڏهن ان ملڪ ACTA تي صحي ڪئي، جنهن جي ڪري پولش حڪومت هاڻي جي لاءِ معاهدي تي صحي نہ ڪرڻ جو فيصلو ڪيو آهي.	گذريل مهيني پولينڊ ۾ گهڻا احتجاج ٿيا جڏهن ان ملڪ acta تي صحي ڪئي جنهن جي ڪري پولش حڪومت هاڻي جي لاءِ معاهدي تي صحي نہ ڪرڻ جو فيصلو ڪيو آهي	گ ذ ر ي ل | م ه ي ن ي | پ و ل ي ن ڊ | ۾ | گ ه ڻ ا | ا ح ت ج ا ج | ٿ ي ا | ج ڏ ه ن | ا ن | م ل ڪ | a c t a | ت ي | ص ح ي | ڪ ئ ي | ج ن ه ن | ج ي | ڪ ر ي | پ و ل ش | ح ڪ و م ت | ه ا ڻ ي | ج ي | ل ا ء ِ | م ع ا ه د ي | ت ي | ص ح ي | ن ہ | ڪ ر ڻ | ج و | ف ي ص ل و | ڪ ي و | آ ه ي |	285120	FEMALE
1393	12239517366893815212.wav	ماڻهو ديوتائن جي لاءِ ڀيٽ کڻي ايندا هئا ۽ پوجاري تقريبن ۽ رسمن جي ذريعي ديوتائن جي گهرجون پوريون ڪرڻ جي ڪوشش ڪندا هئا.	ماڻهو ديوتائن جي لاءِ ڀيٽ کڻي ايندا هئا ۽ پوجاري تقريبن ۽ رسمن جي ذريعي ديوتائن جي گهرجون پوريون ڪرڻ جي ڪوشش ڪندا هئا	م ا ڻ ه و | د ي و ت ا ئ ن | ج ي | ل ا ء ِ | ڀ ي ٽ | ک ڻ ي | ا ي ن د ا | ه ئ ا | ۽ | پ و ج ا ر ي | ت ق ر ي ب ن | ۽ | ر س م ن | ج ي | ذ ر ي ع ي | د ي و ت ا ئ ن | ج ي | گ ه ر ج و ن | پ و ر ي و ن | ڪ ر ڻ | ج ي | ڪ و ش ش | ڪ ن د ا | ه ئ ا |	137280	FEMALE
233	16113754222187683433.wav	اڃا تائين اختيارين وٽ هن جو نالو نامعلوم آهي، جيتوڻيڪ انهن کي خبر آهي ته هو ويگور نسل پرست گروپ جو ميمبر آهي.	اڃا تائين اختيارين وٽ هن جو نالو نامعلوم آهي جيتوڻيڪ انهن کي خبر آهي ته هو ويگور نسل پرست گروپ جو ميمبر آهي	ا ڃ ا | ت ا ئ ي ن | ا خ ت ي ا ر ي ن | و ٽ | ه ن | ج و | ن ا ل و | ن ا م ع ل و م | آ ه ي | ج ي ت و ڻ ي ڪ | ا ن ه ن | ک ي | خ ب ر | آ ه ي | ت ه | ه و | و ي گ و ر | ن س ل | پ ر س ت | گ ر و پ | ج و | م ي م ب ر | آ ه ي |	166080	FEMALE
