362	3727732812750922633.wav	Фотоните са по-малки дори от материята, която изгражда атомите!	фотоните са по-малки дори от материята която изгражда атомите!	ф о т о н и т е | с а | п о - м а л к и | д о р и | о т | м а т е р и я т а | к о я т о | и з г р а ж д а | а т о м и т е ! |	114240	MALE
795	2296672622502074893.wav	Направете и си носете копия на вашата полица и данните за контакт на застрахователя ви.	направете и си носете копия на вашата полица и данните за контакт на застрахователя ви	н а п р а в е т е | и | с и | н о с е т е | к о п и я | н а | в а ш а т а | п о л и ц а | и | д а н н и т е | з а | к о н т а к т | н а | з а с т р а х о в а т е л я | в и |	142080	MALE
248	3618745162152705836.wav	Тези служители отговарят за предоставянето на правителствени и съдебни услуги по чл. 247 от пакистанската конституция.	тези служители отговарят за предоставянето на правителствени и съдебни услуги по чл. 247 от пакистанската конституция	т е з и | с л у ж и т е л и | о т г о в а р я т | з а | п р е д о с т а в я н е т о | н а | п р а в и т е л с т в е н и | и | с ъ д е б н и | у с л у г и | п о | ч л . | 2 4 7 | о т | п а к и с т а н с к а т а | к о н с т и т у ц и я |	143040	FEMALE
963	14150259500176741459.wav	Нова република беше създадена с подкрепата на арменците. Нито една установена нация обаче - дори Армения - не я признава официално.	нова република беше създадена с подкрепата на арменците. нито една установена нация обаче - дори армения - не я признава официално	н о в а | р е п у б л и к а | б е ш е | с ъ з д а д е н а | с | п о д к р е п а т а | н а | а р м е н ц и т е . | н и т о | е д н а | у с т а н о в е н а | н а ц и я | о б а ч е | - | д о р и | а р м е н и я | - | н е | я | п р и з н а в а | о ф и ц и а л н о |	183360	MALE
1331	13477829885596072172.wav	Докато ученето, базирано на проекти, трябва да направи ученето по-лесно и по-интересно, скаффолдинга отива една стъпка по-далеч.	докато ученето базирано на проекти трябва да направи ученето по-лесно и по-интересно скаффолдинга отива една стъпка по-далеч	д о к а т о | у ч е н е т о | б а з и р а н о | н а | п р о е к т и | т р я б в а | д а | н а п р а в и | у ч е н е т о | п о - л е с н о | и | п о - и н т е р е с н о | с к а ф ф о л д и н г а | о т и в а | е д н а | с т ъ п к а | п о - д а л е ч |	237120	MALE
1121	4172502838473478561.wav	Директорът на Обществената прокуратурата, Кийър Стармер, направи изявление тази сутрин, обявявайки наказателното преследване както на Хюн, така и на Прайс.	директорът на обществената прокуратурата кийър стармер направи изявление тази сутрин обявявайки наказателното преследване както на хюн така и на прайс	д и р е к т о р ъ т | н а | о б щ е с т в е н а т а | п р о к у р а т у р а т а | к и й ъ р | с т а р м е р | н а п р а в и | и з я в л е н и е | т а з и | с у т р и н | о б я в я в а й к и | н а к а з а т е л н о т о | п р е с л е д в а н е | к а к т о | н а | х ю н | т а к а | и | н а | п р а й с |	205440	MALE
184	8621344015759926409.wav	Здравният министър изрази загриженост както за благосъстоянието на лицата, които се възползват от временната законност на включените вещества, така и за свързаните с наркотиците присъди, издадени след влизането в сила на вече противоконституционните промени.	здравният министър изрази загриженост както за благосъстоянието на лицата които се възползват от временната законност на включените вещества така и за свързаните с наркотиците присъди издадени след влизането в сила на вече противоконституционните промени	з д р а в н и я т | м и н и с т ъ р | и з р а з и | з а г р и ж е н о с т | к а к т о | з а | б л а г о с ъ с т о я н и е т о | н а | л и ц а т а | к о и т о | с е | в ъ з п о л з в а т | о т | в р е м е н н а т а | з а к о н н о с т | н а | в к л ю ч е н и т е | в е щ е с т в а | т а к а | и | з а | с в ъ р з а н и т е | с | н а р к о т и ц и т е | п р и с ъ д и | и з д а д е н и | с л е д | в л и з а н е т о | в | с и л а | н а | в е ч е | п р о т и в о к о н с т и т у ц и о н н и т е | п р о м е н и |	316800	FEMALE
553	7084577751210523573.wav	Като поддържат здравословен енергиен баланс, имат ефективни навици за хидратация и разбират различните аспекти на употребата на добавки, спортистите могат да подобрят представянето си и да увеличат насладата си от спорта.	като поддържат здравословен енергиен баланс имат ефективни навици за хидратация и разбират различните аспекти на употребата на добавки спортистите могат да подобрят представянето си и да увеличат насладата си от спорта	к а т о | п о д д ъ р ж а т | з д р а в о с л о в е н | е н е р г и е н | б а л а н с | и м а т | е ф е к т и в н и | н а в и ц и | з а | х и д р а т а ц и я | и | р а з б и р а т | р а з л и ч н и т е | а с п е к т и | н а | у п о т р е б а т а | н а | д о б а в к и | с п о р т и с т и т е | м о г а т | д а | п о д о б р я т | п р е д с т а в я н е т о | с и | и | д а | у в е л и ч а т | н а с л а д а т а | с и | о т | с п о р т а |	217920	FEMALE
1350	12630930778403705431.wav	Определението има географски различия, при които възрастовата граница може да бъде по - малка на места като Северна Америка, отколкото в Европа.	определението има географски различия при които възрастовата граница може да бъде по - малка на места като северна америка отколкото в европа	о п р е д е л е н и е т о | и м а | г е о г р а ф с к и | р а з л и ч и я | п р и | к о и т о | в ъ з р а с т о в а т а | г р а н и ц а | м о ж е | д а | б ъ д е | п о | - | м а л к а | н а | м е с т а | к а т о | с е в е р н а | а м е р и к а | о т к о л к о т о | в | е в р о п а |	159360	MALE
1223	6141860185735462291.wav	Ху посъветва развиващите се страни „първо да избегнат стария начин на замърсяване, а след това да почистят“.	ху посъветва развиващите се страни първо да избегнат стария начин на замърсяване а след това да почистят	х у | п о с ъ в е т в а | р а з в и в а щ и т е | с е | с т р а н и | п ъ р в о | д а | и з б е г н а т | с т а р и я | н а ч и н | н а | з а м ъ р с я в а н е | а | с л е д | т о в а | д а | п о ч и с т я т |	151680	MALE
64	18257246782460624031.wav	От 10 години насам националният конгрес на Бразилия обсъжда легализацията и за момента такъв тип граждански бракове са законни единствено в Рио Гранде до Сул.	от 10 години насам националният конгрес на бразилия обсъжда легализацията и за момента такъв тип граждански бракове са законни единствено в рио гранде до сул	о т | 1 0 | г о д и н и | н а с а м | н а ц и о н а л н и я т | к о н г р е с | н а | б р а з и л и я | о б с ъ ж д а | л е г а л и з а ц и я т а | и | з а | м о м е н т а | т а к ъ в | т и п | г р а ж д а н с к и | б р а к о в е | с а | з а к о н н и | е д и н с т в е н о | в | р и о | г р а н д е | д о | с у л |	216960	MALE
504	7742369295180801169.wav	MySpace понастоящем има 54 милиона потребителски профила и е третият по популярност уебсайт, използван в САЩ.	myspace понастоящем има 54 милиона потребителски профила и е третият по популярност уебсайт използван в сащ	m y s p a c e | п о н а с т о я щ е м | и м а | 5 4 | м и л и о н а | п о т р е б и т е л с к и | п р о ф и л а | и | е | т р е т и я т | п о | п о п у л я р н о с т | у е б с а й т | и з п о л з в а н | в | с а щ |	150720	MALE
1391	6689111490588357522.wav	На другото състезание, Гигантския слалом, тя финишира на десето място в женска група за седящи с комбинирано време на бягане 4:41.30, 2:11.60 минути по-бавно от австрийката Клаудия Лоеш, която финишира първа, и 1:09.02 минути по-бавно от финиширалата на девето място унгарка Гьонги Дани.	на другото състезание гигантския слалом тя финишира на десето място в женска група за седящи с комбинирано време на бягане 4:41.30 2:11.60 минути по-бавно от австрийката клаудия лоеш която финишира първа и 1:09.02 минути по-бавно от финиширалата на девето място унгарка гьонги дани	н а | д р у г о т о | с ъ с т е з а н и е | г и г а н т с к и я | с л а л о м | т я | ф и н и ш и р а | н а | д е с е т о | м я с т о | в | ж е н с к а | г р у п а | з а | с е д я щ и | с | к о м б и н и р а н о | в р е м е | н а | б я г а н е | 4 : 4 1 . 3 0 | 2 : 1 1 . 6 0 | м и н у т и | п о - б а в н о | о т | а в с т р и й к а т а | к л а у д и я | л о е ш | к о я т о | ф и н и ш и р а | п ъ р в а | и | 1 : 0 9 . 0 2 | м и н у т и | п о - б а в н о | о т | ф и н и ш и р а л а т а | н а | д е в е т о | м я с т о | у н г а р к а | г ь о н г и | д а н и |	430080	MALE
186	7242305643293654371.wav	Той бе отседнал в хотела на отбора преди мача срещу Болоня, планиран за неделя.	той бе отседнал в хотела на отбора преди мача срещу болоня планиран за неделя	т о й | б е | о т с е д н а л | в | х о т е л а | н а | о т б о р а | п р е д и | м а ч а | с р е щ у | б о л о н я | п л а н и р а н | з а | н е д е л я |	115200	FEMALE
653	8119275440162615801.wav	Въпреки че може да чуете местните жители на Гренландия да използват думата, чужденците трябва да избягват да го правят.	въпреки че може да чуете местните жители на гренландия да използват думата чужденците трябва да избягват да го правят	в ъ п р е к и | ч е | м о ж е | д а | ч у е т е | м е с т н и т е | ж и т е л и | н а | г р е н л а н д и я | д а | и з п о л з в а т | д у м а т а | ч у ж д е н ц и т е | т р я б в а | д а | и з б я г в а т | д а | г о | п р а в я т |	176640	MALE
406	15556348505410749567.wav	Заради успеха на германците с подводниците, след войната им се няма доверие да притежават много от тях.	заради успеха на германците с подводниците след войната им се няма доверие да притежават много от тях	з а р а д и | у с п е х а | н а | г е р м а н ц и т е | с | п о д в о д н и ц и т е | с л е д | в о й н а т а | и м | с е | н я м а | д о в е р и е | д а | п р и т е ж а в а т | м н о г о | о т | т я х |	183360	MALE
766	442795423385918887.wav	Семействата с деца са рядкост, но някои общежития ги допускат в самостоятелни стаи.	семействата с деца са рядкост но някои общежития ги допускат в самостоятелни стаи	с е м е й с т в а т а | с | д е ц а | с а | р я д к о с т | н о | н я к о и | о б щ е ж и т и я | г и | д о п у с к а т | в | с а м о с т о я т е л н и | с т а и |	163200	FEMALE
1424	11675226951218914057.wav	Проверете етикета за конкретни инструкции за оказване на първа помощ при тази отрова.	проверете етикета за конкретни инструкции за оказване на първа помощ при тази отрова	п р о в е р е т е | е т и к е т а | з а | к о н к р е т н и | и н с т р у к ц и и | з а | о к а з в а н е | н а | п ъ р в а | п о м о щ | п р и | т а з и | о т р о в а |	84480	FEMALE
190	14146466644261511535.wav	Тайфунът се движи със скорост 11 км/ч към Китай.	тайфунът се движи със скорост 11 км/ч към китай	т а й ф у н ъ т | с е | д в и ж и | с ъ с | с к о р о с т | 1 1 | к м / ч | к ъ м | к и т а й |	74880	FEMALE
198	865308713837639532.wav	Въпреки че състоянието на президента е стабилно, той ще бъде изолиран у дома си няколко дни.	въпреки че състоянието на президента е стабилно той ще бъде изолиран у дома си няколко дни	в ъ п р е к и | ч е | с ъ с т о я н и е т о | н а | п р е з и д е н т а | е | с т а б и л н о | т о й | щ е | б ъ д е | и з о л и р а н | у | д о м а | с и | н я к о л к о | д н и |	109440	MALE
160	4449386645544662727.wav	Кане и Труекс младши са съответно пети и шести с 2220 и 2207 точки. На трето място, Хамлин изостава с 20 пункта, но с 5 пункта пред Бауър.	кане и труекс младши са съответно пети и шести с 2220 и 2207 точки. на трето място хамлин изостава с 20 пункта но с 5 пункта пред бауър	к а н е | и | т р у е к с | м л а д ш и | с а | с ъ о т в е т н о | п е т и | и | ш е с т и | с | 2 2 2 0 | и | 2 2 0 7 | т о ч к и . | н а | т р е т о | м я с т о | х а м л и н | и з о с т а в а | с | 2 0 | п у н к т а | н о | с | 5 | п у н к т а | п р е д | б а у ъ р |	306240	MALE
489	4905924710006819055.wav	Религията е основана през 15-ти век от Гуру Нанак (1469 – 1539 г.). Още девет гурута са го последвали.	религията е основана през 15-ти век от гуру нанак 1469 – 1539 г.. още девет гурута са го последвали	р е л и г и я т а | е | о с н о в а н а | п р е з | 1 5 - т и | в е к | о т | г у р у | н а н а к | 1 4 6 9 | – | 1 5 3 9 | г . . | о щ е | д е в е т | г у р у т а | с а | г о | п о с л е д в а л и |	165120	MALE
238	5817409561686039578.wav	Така че, ако стояхте на брега, щяхте да можете да видите камъчетата или мръсната лепкава маса, които са на дъното.	така че ако стояхте на брега щяхте да можете да видите камъчетата или мръсната лепкава маса които са на дъното	т а к а | ч е | а к о | с т о я х т е | н а | б р е г а | щ я х т е | д а | м о ж е т е | д а | в и д и т е | к а м ъ ч е т а т а | и л и | м р ъ с н а т а | л е п к а в а | м а с а | к о и т о | с а | н а | д ъ н о т о |	123840	MALE
751	13190013926473045627.wav	За разлика от по-големите превозни средства, вероятно вече сте запознати с управлението на колата си и познавате ограниченията й.	за разлика от по-големите превозни средства вероятно вече сте запознати с управлението на колата си и познавате ограниченията й	з а | р а з л и к а | о т | п о - г о л е м и т е | п р е в о з н и | с р е д с т в а | в е р о я т н о | в е ч е | с т е | з а п о з н а т и | с | у п р а в л е н и е т о | н а | к о л а т а | с и | и | п о з н а в а т е | о г р а н и ч е н и я т а | й |	142080	MALE
800	17966978079337157330.wav	Лосовете (известни също като уапити) не са агресивни по природа, но ще се защитяст, ако усетят заплаха.	лосовете известни също като уапити не са агресивни по природа но ще се защитяст ако усетят заплаха	л о с о в е т е | и з в е с т н и | с ъ щ о | к а т о | у а п и т и | н е | с а | а г р е с и в н и | п о | п р и р о д а | н о | щ е | с е | з а щ и т я с т | а к о | у с е т я т | з а п л а х а |	150720	FEMALE
111	17013595878349698607.wav	Стардъст ще постави нов рекорд за всички времена за най-бързият космически кораб, върнал се на Земята, като счупи предишния рекорд, постигнат през май 1969 г. по време на завръщането на командния модул на Аполо X.	стардъст ще постави нов рекорд за всички времена за най-бързият космически кораб върнал се на земята като счупи предишния рекорд постигнат през май 1969 г. по време на завръщането на командния модул на аполо x	с т а р д ъ с т | щ е | п о с т а в и | н о в | р е к о р д | з а | в с и ч к и | в р е м е н а | з а | н а й - б ъ р з и я т | к о с м и ч е с к и | к о р а б | в ъ р н а л | с е | н а | з е м я т а | к а т о | с ч у п и | п р е д и ш н и я | р е к о р д | п о с т и г н а т | п р е з | м а й | 1 9 6 9 | г . | п о | в р е м е | н а | з а в р ъ щ а н е т о | н а | к о м а н д н и я | м о д у л | н а | а п о л о | x |	342720	MALE
1214	11166283285878405120.wav	Смята се обаче, че не са повредили совалката.	смята се обаче че не са повредили совалката	с м я т а | с е | о б а ч е | ч е | н е | с а | п о в р е д и л и | с о в а л к а т а |	75840	MALE
739	12051066503215820855.wav	CafeNet El Sol предлага услуга за резервация срещу такса от 30 щ.д. или 10 щ.д. за еднодневни пропуски; подробности на страницата им в Корковадо.	cafenet el sol предлага услуга за резервация срещу такса от 30 щ.д. или 10 щ.д. за еднодневни пропуски; подробности на страницата им в корковадо	c a f e n e t | e l | s o l | п р е д л а г а | у с л у г а | з а | р е з е р в а ц и я | с р е щ у | т а к с а | о т | 3 0 | щ . д . | и л и | 1 0 | щ . д . | з а | е д н о д н е в н и | п р о п у с к и ; | п о д р о б н о с т и | н а | с т р а н и ц а т а | и м | в | к о р к о в а д о |	200640	MALE
1223	10852467395720791600.wav	Ху посъветва развиващите се страни „първо да избегнат стария начин на замърсяване, а след това да почистят“.	ху посъветва развиващите се страни първо да избегнат стария начин на замърсяване а след това да почистят	х у | п о с ъ в е т в а | р а з в и в а щ и т е | с е | с т р а н и | п ъ р в о | д а | и з б е г н а т | с т а р и я | н а ч и н | н а | з а м ъ р с я в а н е | а | с л е д | т о в а | д а | п о ч и с т я т |	158400	MALE
368	10333332836527989673.wav	Кръвта се отдалечава от сърцето по тръби, наречени „артерии“, и се връща обратно към сърцето по тръби, наречени „вени“. Най-малките тръби се наричат „капиляри“.	кръвта се отдалечава от сърцето по тръби наречени артерии  и се връща обратно към сърцето по тръби наречени вени . най-малките тръби се наричат капиляри	к р ъ в т а | с е | о т д а л е ч а в а | о т | с ъ р ц е т о | п о | т р ъ б и | н а р е ч е н и | а р т е р и и | и | с е | в р ъ щ а | о б р а т н о | к ъ м | с ъ р ц е т о | п о | т р ъ б и | н а р е ч е н и | в е н и | . | н а й - м а л к и т е | т р ъ б и | с е | н а р и ч а т | к а п и л я р и |	192000	FEMALE
1444	12023131489516810880.wav	Жертвите са Николас Алден на 25 г. и Закари Кудебак на 21 г. Кудебак е шофирал.	жертвите са николас алден на 25 г. и закари кудебак на 21 г. кудебак е шофирал	ж е р т в и т е | с а | н и к о л а с | а л д е н | н а | 2 5 | г . | и | з а к а р и | к у д е б а к | н а | 2 1 | г . | к у д е б а к | е | ш о ф и р а л |	239040	MALE
974	7912716305989094262.wav	На много места по света помахването е приятелски жест, означаващ „здравей“.	на много места по света помахването е приятелски жест означаващ здравей	н а | м н о г о | м е с т а | п о | с в е т а | п о м а х в а н е т о | е | п р и я т е л с к и | ж е с т | о з н а ч а в а щ | з д р а в е й |	80640	MALE
696	13514901634847694393.wav	Градът е свещен за трите основни религии - юдеизъм, християнство и ислям, и служи като духовен, религиозен и културен център.	градът е свещен за трите основни религии - юдеизъм християнство и ислям и служи като духовен религиозен и културен център	г р а д ъ т | е | с в е щ е н | з а | т р и т е | о с н о в н и | р е л и г и и | - | ю д е и з ъ м | х р и с т и я н с т в о | и | и с л я м | и | с л у ж и | к а т о | д у х о в е н | р е л и г и о з е н | и | к у л т у р е н | ц е н т ъ р |	200640	MALE
774	7095328834171481544.wav	Страните-участници представят художествени и образователни изложби в национални павилиони, за да представят световните проблеми или собствената си култура или история.	страните-участници представят художествени и образователни изложби в национални павилиони за да представят световните проблеми или собствената си култура или история	с т р а н и т е - у ч а с т н и ц и | п р е д с т а в я т | х у д о ж е с т в е н и | и | о б р а з о в а т е л н и | и з л о ж б и | в | н а ц и о н а л н и | п а в и л и о н и | з а | д а | п р е д с т а в я т | с в е т о в н и т е | п р о б л е м и | и л и | с о б с т в е н а т а | с и | к у л т у р а | и л и | и с т о р и я |	267840	FEMALE
729	3063112057548087348.wav	Някои деца за няколко стотинки ще ви разкажат историята.	някои деца за няколко стотинки ще ви разкажат историята	н я к о и | д е ц а | з а | н я к о л к о | с т о т и н к и | щ е | в и | р а з к а ж а т | и с т о р и я т а |	63360	FEMALE
1205	541802920507551972.wav	Програмата започна в 20:30 ч. местно време (15.00 UTC).	програмата започна в 20:30 ч. местно време 15.00 utc	п р о г р а м а т а | з а п о ч н а | в | 2 0 : 3 0 | ч . | м е с т н о | в р е м е | 1 5 . 0 0 | u t c |	120960	MALE
1264	7073995103167758668.wav	Томи Дриймър каза: „Луна беше първата Кралица на Екстремизма. Моят първи мениджър. Луна си отиде в нощта на двете луни. Доста уникална, като нея. Беше силна жена.“	томи дриймър каза: луна беше първата кралица на екстремизма. моят първи мениджър. луна си отиде в нощта на двете луни. доста уникална като нея. беше силна жена.	т о м и | д р и й м ъ р | к а з а : | л у н а | б е ш е | п ъ р в а т а | к р а л и ц а | н а | е к с т р е м и з м а . | м о я т | п ъ р в и | м е н и д ж ъ р . | л у н а | с и | о т и д е | в | н о щ т а | н а | д в е т е | л у н и . | д о с т а | у н и к а л н а | к а т о | н е я . | б е ш е | с и л н а | ж е н а . |	259200	MALE
215	3147278394018957014.wav	И голф, и ръгби са на път да се върнат на Олимпийските игри.	и голф и ръгби са на път да се върнат на олимпийските игри	и | г о л ф | и | р ъ г б и | с а | н а | п ъ т | д а | с е | в ъ р н а т | н а | о л и м п и й с к и т е | и г р и |	78720	FEMALE
1454	6134919459720261484.wav	Интернет страницата на станцията описва шоуто като „старомоден радио театър с нова и скандална маниашка история!“	интернет страницата на станцията описва шоуто като старомоден радио театър с нова и скандална маниашка история!	и н т е р н е т | с т р а н и ц а т а | н а | с т а н ц и я т а | о п и с в а | ш о у т о | к а т о | с т а р о м о д е н | р а д и о | т е а т ъ р | с | н о в а | и | с к а н д а л н а | м а н и а ш к а | и с т о р и я ! |	193920	MALE
757	4378141926498165126.wav	Част от характера им са също старомодните принадлежности, липсата на най-новите удобства и определена грациозна старост също.	част от характера им са също старомодните принадлежности липсата на най-новите удобства и определена грациозна старост също	ч а с т | о т | х а р а к т е р а | и м | с а | с ъ щ о | с т а р о м о д н и т е | п р и н а д л е ж н о с т и | л и п с а т а | н а | н а й - н о в и т е | у д о б с т в а | и | о п р е д е л е н а | г р а ц и о з н а | с т а р о с т | с ъ щ о |	195840	FEMALE
589	11123489220163611779.wav	Надеждата ни е в това повечето хора да осъзнаят, че най-доброто дългосрочно решение е да работят в екип с останалите.	надеждата ни е в това повечето хора да осъзнаят че най-доброто дългосрочно решение е да работят в екип с останалите	н а д е ж д а т а | н и | е | в | т о в а | п о в е ч е т о | х о р а | д а | о с ъ з н а я т | ч е | н а й - д о б р о т о | д ъ л г о с р о ч н о | р е ш е н и е | е | д а | р а б о т я т | в | е к и п | с | о с т а н а л и т е |	140160	MALE
1081	1788485333236410851.wav	Още по на юг е Ниагарският водопад, а на север се намират девствените природни красоти на Мускока и околните земи.	още по на юг е ниагарският водопад а на север се намират девствените природни красоти на мускока и околните земи	о щ е | п о | н а | ю г | е | н и а г а р с к и я т | в о д о п а д | а | н а | с е в е р | с е | н а м и р а т | д е в с т в е н и т е | п р и р о д н и | к р а с о т и | н а | м у с к о к а | и | о к о л н и т е | з е м и |	195840	FEMALE
1126	9169505668512817593.wav	Облеклото може да бъде взето назаем от наличното на входа, но то не се пере след всеки потребител, така че може да не се чувствате комфортно, носейки тези поли. Един размер е подходящ за всички мъже!	облеклото може да бъде взето назаем от наличното на входа но то не се пере след всеки потребител така че може да не се чувствате комфортно носейки тези поли. един размер е подходящ за всички мъже!	о б л е к л о т о | м о ж е | д а | б ъ д е | в з е т о | н а з а е м | о т | н а л и ч н о т о | н а | в х о д а | н о | т о | н е | с е | п е р е | с л е д | в с е к и | п о т р е б и т е л | т а к а | ч е | м о ж е | д а | н е | с е | ч у в с т в а т е | к о м ф о р т н о | н о с е й к и | т е з и | п о л и . | е д и н | р а з м е р | е | п о д х о д я щ | з а | в с и ч к и | м ъ ж е ! |	251520	MALE
1083	10235952574176606522.wav	По време на пътуването си Ивасаки изпадна в множество беди.	по време на пътуването си ивасаки изпадна в множество беди	п о | в р е м е | н а | п ъ т у в а н е т о | с и | и в а с а к и | и з п а д н а | в | м н о ж е с т в о | б е д и |	89280	FEMALE
482	2018698337446243669.wav	Мистицизмът е търсене на общуване, идентифициране или съзнателно осъзнаване на пълна реалност, божественост, духовна истина или Бог.	мистицизмът е търсене на общуване идентифициране или съзнателно осъзнаване на пълна реалност божественост духовна истина или бог	м и с т и ц и з м ъ т | е | т ъ р с е н е | н а | о б щ у в а н е | и д е н т и ф и ц и р а н е | и л и | с ъ з н а т е л н о | о с ъ з н а в а н е | н а | п ъ л н а | р е а л н о с т | б о ж е с т в е н о с т | д у х о в н а | и с т и н а | и л и | б о г |	197760	MALE
1265	15668691210277364839.wav	В развитите страни рядко има толкова много оплаквания за качеството на водата или разпадащи се мостове.	в развитите страни рядко има толкова много оплаквания за качеството на водата или разпадащи се мостове	в | р а з в и т и т е | с т р а н и | р я д к о | и м а | т о л к о в а | м н о г о | о п л а к в а н и я | з а | к а ч е с т в о т о | н а | в о д а т а | и л и | р а з п а д а щ и | с е | м о с т о в е |	112320	MALE
880	6315586296125681556.wav	Много правителства изискват посетителите, които посещават, както и жителите, които напускат техните страни, да бъдат ваксинирани за редица заболявания.	много правителства изискват посетителите които посещават както и жителите които напускат техните страни да бъдат ваксинирани за редица заболявания	м н о г о | п р а в и т е л с т в а | и з и с к в а т | п о с е т и т е л и т е | к о и т о | п о с е щ а в а т | к а к т о | и | ж и т е л и т е | к о и т о | н а п у с к а т | т е х н и т е | с т р а н и | д а | б ъ д а т | в а к с и н и р а н и | з а | р е д и ц а | з а б о л я в а н и я |	172800	MALE
1286	18111908316771863807.wav	Насоченият нагоре лък обикновено издава по-мек звук, a насоченият надолу лък е по-силен и по-уверен.	насоченият нагоре лък обикновено издава по-мек звук a насоченият надолу лък е по-силен и по-уверен	н а с о ч е н и я т | н а г о р е | л ъ к | о б и к н о в е н о | и з д а в а | п о - м е к | з в у к | a | н а с о ч е н и я т | н а д о л у | л ъ к | е | п о - с и л е н | и | п о - у в е р е н |	149760	FEMALE
234	1524746266027451680.wav	Надя, родена на 17 септември 2007 г. в родилна клиника в Алейск, Русия, чрез Цезарово сечение, е била с невероятно високото тегло 17 фунта и 1 унция.	надя родена на 17 септември 2007 г. в родилна клиника в алейск русия чрез цезарово сечение е била с невероятно високото тегло 17 фунта и 1 унция	н а д я | р о д е н а | н а | 1 7 | с е п т е м в р и | 2 0 0 7 | г . | в | р о д и л н а | к л и н и к а | в | а л е й с к | р у с и я | ч р е з | ц е з а р о в о | с е ч е н и е | е | б и л а | с | н е в е р о я т н о | в и с о к о т о | т е г л о | 1 7 | ф у н т а | и | 1 | у н ц и я |	233280	MALE
1098	5559448013309483171.wav	Законопроектът изисква видеоигрите, продавани в щата Калифорния, които съдържат насилие, да бъдат обозначени с надпис "18", а продажбата им на непълнолетни лица да се наказва с глоба от 1000 долара за всяко нарушение.	законопроектът изисква видеоигрите продавани в щата калифорния които съдържат насилие да бъдат обозначени с надпис 18 а продажбата им на непълнолетни лица да се наказва с глоба от 1000 долара за всяко нарушение	з а к о н о п р о е к т ъ т | и з и с к в а | в и д е о и г р и т е | п р о д а в а н и | в | щ а т а | к а л и ф о р н и я | к о и т о | с ъ д ъ р ж а т | н а с и л и е | д а | б ъ д а т | о б о з н а ч е н и | с | н а д п и с | 1 8 | а | п р о д а ж б а т а | и м | н а | н е п ъ л н о л е т н и | л и ц а | д а | с е | н а к а з в а | с | г л о б а | о т | 1 0 0 0 | д о л а р а | з а | в с я к о | н а р у ш е н и е |	329280	MALE
1112	7277208459177004517.wav	Страхът от липса на транспорт повдигна възможността играта да се наложи да се проведе при затворени врати без феновете на отбора.	страхът от липса на транспорт повдигна възможността играта да се наложи да се проведе при затворени врати без феновете на отбора	с т р а х ъ т | о т | л и п с а | н а | т р а н с п о р т | п о в д и г н а | в ъ з м о ж н о с т т а | и г р а т а | д а | с е | н а л о ж и | д а | с е | п р о в е д е | п р и | з а т в о р е н и | в р а т и | б е з | ф е н о в е т е | н а | о т б о р а |	179520	MALE
22	9355144911861797688.wav	Сие твърди също така, че фотогеничният Ма притежава повече стил, отколкото съдържание.	сие твърди също така че фотогеничният ма притежава повече стил отколкото съдържание	с и е | т в ъ р д и | с ъ щ о | т а к а | ч е | ф о т о г е н и ч н и я т | м а | п р и т е ж а в а | п о в е ч е | с т и л | о т к о л к о т о | с ъ д ъ р ж а н и е |	165120	FEMALE
1494	13822015307998867799.wav	На транссексуалните лица, на които им предстои операция, не трябва да очакват да преминат през скенерите с непокътната неприкосновеност на личния живот и достойнство.	на транссексуалните лица на които им предстои операция не трябва да очакват да преминат през скенерите с непокътната неприкосновеност на личния живот и достойнство	н а | т р а н с с е к с у а л н и т е | л и ц а | н а | к о и т о | и м | п р е д с т о и | о п е р а ц и я | н е | т р я б в а | д а | о ч а к в а т | д а | п р е м и н а т | п р е з | с к е н е р и т е | с | н е п о к ъ т н а т а | н е п р и к о с н о в е н о с т | н а | л и ч н и я | ж и в о т | и | д о с т о й н с т в о |	218880	MALE
263	4224673431665423389.wav	Бенин ще се присъедини. Това обяви комисарят на Африканския съюз по търговията и промишлеността Алберт Мучанга.	бенин ще се присъедини. това обяви комисарят на африканския съюз по търговията и промишлеността алберт мучанга	б е н и н | щ е | с е | п р и с ъ е д и н и . | т о в а | о б я в и | к о м и с а р я т | н а | а ф р и к а н с к и я | с ъ ю з | п о | т ъ р г о в и я т а | и | п р о м и ш л е н о с т т а | а л б е р т | м у ч а н г а |	130560	MALE
228	17473089744829854927.wav	Учените са открили форми на релефа, разпръснати по повърхността на Луната, наречени разломи, които очевидно са резултат от бавното й свиване.	учените са открили форми на релефа разпръснати по повърхността на луната наречени разломи които очевидно са резултат от бавното й свиване	у ч е н и т е | с а | о т к р и л и | ф о р м и | н а | р е л е ф а | р а з п р ъ с н а т и | п о | п о в ъ р х н о с т т а | н а | л у н а т а | н а р е ч е н и | р а з л о м и | к о и т о | о ч е в и д н о | с а | р е з у л т а т | о т | б а в н о т о | й | с в и в а н е |	141120	MALE
