1090	17489440875552726329.wav	Кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды.	кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды	к е й д е | к ү ш | қ о л д а н ы л ғ а н | н а р а з ы л ы қ т а р ғ а | с а й л а у д ы ң | 2 0 1 1 | ж ы л д а н | б е р і | ө т к і з і л м е у і | с е б е п | б о л д ы |	120960	MALE
775	4244701582307807438.wav	Халықаралық бау-бақша көрмелері - бұл гүлдер көрмесін, ботаникалық бақтарды және өсімдіктерге қатысты кез-келген нәрсені көрсететін мамандандырылған іс-шаралар.	халықаралық бау-бақша көрмелері бұл гүлдер көрмесін ботаникалық бақтарды және өсімдіктерге қатысты кез-келген нәрсені көрсететін мамандандырылған іс-шаралар	х а л ы қ а р а л ы қ | б а у - б а қ ш а | к ө р м е л е р і | б ұ л | г ү л д е р | к ө р м е с і н | б о т а н и к а л ы қ | б а қ т а р д ы | ж ә н е | ө с і м д і к т е р г е | қ а т ы с т ы | к е з - к е л г е н | н ә р с е н і | к ө р с е т е т і н | м а м а н д а н д ы р ы л ғ а н | і с - ш а р а л а р |	257280	FEMALE
264	6476528292471502583.wav	Комиссар: «Біз әлі шыққан елді анықтау ережелері мен тарифтік жеңілдіктер туралы келіскен жоқпыз, бірақ бізде бар концепция 2020 жылдың 1 шілдесінде сауданы бастауға жеткілікті», - деді.	комиссар: «біз әлі шыққан елді анықтау ережелері мен тарифтік жеңілдіктер туралы келіскен жоқпыз бірақ бізде бар концепция 2020 жылдың 1 шілдесінде сауданы бастауға жеткілікті» - деді	к о м и с с а р : | « б і з | ә л і | ш ы қ қ а н | е л д і | а н ы қ т а у | е р е ж е л е р і | м е н | т а р и ф т і к | ж е ң і л д і к т е р | т у р а л ы | к е л і с к е н | ж о қ п ы з | б і р а қ | б і з д е | б а р | к о н ц е п ц и я | 2 0 2 0 | ж ы л д ы ң | 1 | ш і л д е с і н д е | с а у д а н ы | б а с т а у ғ а | ж е т к і л і к т і » | - | д е д і |	251520	MALE
431	4084342914694642219.wav	Түркия аумағы оны дүние жүзіндегі 37-ші ең үлкен ел етеді және өлшемі шамамен Франция метрополиясының және Біріккен Корольдіктің біріккен өлшемімен бірдей.	түркия аумағы оны дүние жүзіндегі 37-ші ең үлкен ел етеді және өлшемі шамамен франция метрополиясының және біріккен корольдіктің біріккен өлшемімен бірдей	т ү р к и я | а у м а ғ ы | о н ы | д ү н и е | ж ү з і н д е г і | 3 7 - ш і | е ң | ү л к е н | е л | е т е д і | ж ә н е | ө л ш е м і | ш а м а м е н | ф р а н ц и я | м е т р о п о л и я с ы н ы ң | ж ә н е | б і р і к к е н | к о р о л ь д і к т і ң | б і р і к к е н | ө л ш е м і м е н | б і р д е й |	213120	MALE
1324	14615677943775674353.wav	Бұл оларға жыртқыштардан жасырынуға болатын шағын жерлердің кеңірек ауқымын береді.	бұл оларға жыртқыштардан жасырынуға болатын шағын жерлердің кеңірек ауқымын береді	б ұ л | о л а р ғ а | ж ы р т қ ы ш т а р д а н | ж а с ы р ы н у ғ а | б о л а т ы н | ш а ғ ы н | ж е р л е р д і ң | к е ң і р е к | а у қ ы м ы н | б е р е д і |	167040	FEMALE
1048	18309769558130196768.wav	Ол акушер оқуын оқыды және 1959 жылы Окленд ұлттық әйелдер ауруханасында жұмыс істей бастады.	ол акушер оқуын оқыды және 1959 жылы окленд ұлттық әйелдер ауруханасында жұмыс істей бастады	о л | а к у ш е р | о қ у ы н | о қ ы д ы | ж ә н е | 1 9 5 9 | ж ы л ы | о к л е н д | ұ л т т ы қ | ә й е л д е р | а у р у х а н а с ы н д а | ж ұ м ы с | і с т е й | б а с т а д ы |	221760	FEMALE
1256	12720072328355986255.wav	Сіз жаппай көмілген қабірге бармақшы және ол әлемдегі көптеген халықтар үшін жоғары құндылыққа ие орын екенін ескеріңіз.	сіз жаппай көмілген қабірге бармақшы және ол әлемдегі көптеген халықтар үшін жоғары құндылыққа ие орын екенін ескеріңіз	с і з | ж а п п а й | к ө м і л г е н | қ а б і р г е | б а р м а қ ш ы | ж ә н е | о л | ә л е м д е г і | к ө п т е г е н | х а л ы қ т а р | ү ш і н | ж о ғ а р ы | қ ұ н д ы л ы қ қ а | и е | о р ы н | е к е н і н | е с к е р і ң і з |	162240	FEMALE
823	4556085499847788780.wav	Агенттіктердің көпшілігі көбіне әдеттегі брондауларды алуға дайын болғанымен, көптеген агенттіктер саяхаттың, қаражаттың және бағыттың арнайы түрлеріне маманданған.	агенттіктердің көпшілігі көбіне әдеттегі брондауларды алуға дайын болғанымен көптеген агенттіктер саяхаттың қаражаттың және бағыттың арнайы түрлеріне маманданған	а г е н т т і к т е р д і ң | к ө п ш і л і г і | к ө б і н е | ә д е т т е г і | б р о н д а у л а р д ы | а л у ғ а | д а й ы н | б о л ғ а н ы м е н | к ө п т е г е н | а г е н т т і к т е р | с а я х а т т ы ң | қ а р а ж а т т ы ң | ж ә н е | б а ғ ы т т ы ң | а р н а й ы | т ү р л е р і н е | м а м а н д а н ғ а н |	216960	MALE
1020	9097595817173821339.wav	Мысалы, Луара алқабындағы қамалдарға бару, Рейн немесе Дунайдағы қызықты жерлерге круиз жасау немесе Эри каналы арқылы қайықпен жүру.	мысалы луара алқабындағы қамалдарға бару рейн немесе дунайдағы қызықты жерлерге круиз жасау немесе эри каналы арқылы қайықпен жүру	м ы с а л ы | л у а р а | а л қ а б ы н д а ғ ы | қ а м а л д а р ғ а | б а р у | р е й н | н е м е с е | д у н а й д а ғ ы | қ ы з ы қ т ы | ж е р л е р г е | к р у и з | ж а с а у | н е м е с е | э р и | к а н а л ы | а р қ ы л ы | қ а й ы қ п е н | ж ү р у |	182400	MALE
235	7408126258123887737.wav	«Бұл барлығымызды есеңгіретті», - деді анасы.	«бұл барлығымызды есеңгіретті» - деді анасы	« б ұ л | б а р л ы ғ ы м ы з д ы | е с е ң г і р е т т і » | - | д е д і | а н а с ы |	108480	FEMALE
146	12450640993485581745.wav	Осы уақытқа дейін AOL Америка Құрама Штаттарында кеңінен пайдаланылуына байланысты лездік хабар алмасу нарығын жақсартуға және дамытуға қолжеткізді.	осы уақытқа дейін aol америка құрама штаттарында кеңінен пайдаланылуына байланысты лездік хабар алмасу нарығын жақсартуға және дамытуға қолжеткізді	о с ы | у а қ ы т қ а | д е й і н | a o l | а м е р и к а | қ ұ р а м а | ш т а т т а р ы н д а | к е ң і н е н | п а й д а л а н ы л у ы н а | б а й л а н ы с т ы | л е з д і к | х а б а р | а л м а с у | н а р ы ғ ы н | ж а қ с а р т у ғ а | ж ә н е | д а м ы т у ғ а | қ о л ж е т к і з д і |	242880	FEMALE
107	3491016541255987728.wav	Елдің жоғарғы жетекшісі, Айатолла Али Хаменей мұнайға тәуелділікті 1979 жылдағы Иран исламдық революциясынан бері ел өзін босатуы керек «тұзақ» деп сипаттап келді.	елдің жоғарғы жетекшісі айатолла али хаменей мұнайға тәуелділікті 1979 жылдағы иран исламдық революциясынан бері ел өзін босатуы керек «тұзақ» деп сипаттап келді	е л д і ң | ж о ғ а р ғ ы | ж е т е к ш і с і | а й а т о л л а | а л и | х а м е н е й | м ұ н а й ғ а | т ә у е л д і л і к т і | 1 9 7 9 | ж ы л д а ғ ы | и р а н | и с л а м д ы қ | р е в о л ю ц и я с ы н а н | б е р і | е л | ө з і н | б о с а т у ы | к е р е к | « т ұ з а қ » | д е п | с и п а т т а п | к е л д і |	255360	MALE
1077	12074947210179578672.wav	Simpsons мультфильмінен бұрын Саймон бірнеше шоуда әртүрлі лауазымдарда жұмыс істеген.	simpsons мультфильмінен бұрын саймон бірнеше шоуда әртүрлі лауазымдарда жұмыс істеген	s i m p s o n s | м у л ь т ф и л ь м і н е н | б ұ р ы н | с а й м о н | б і р н е ш е | ш о у д а | ә р т ү р л і | л а у а з ы м д а р д а | ж ұ м ы с | і с т е г е н |	115200	MALE
708	5556592799924949743.wav	Бұл төменнен біраз қорқынышты көрінеді, бұл тік және қиын өрмелеу, бірақ тиісті түрде шыныққан адамдардың көпшілігі оған шамамен 45 минутта өрмелей алады.	бұл төменнен біраз қорқынышты көрінеді бұл тік және қиын өрмелеу бірақ тиісті түрде шыныққан адамдардың көпшілігі оған шамамен 45 минутта өрмелей алады	б ұ л | т ө м е н н е н | б і р а з | қ о р қ ы н ы ш т ы | к ө р і н е д і | б ұ л | т і к | ж ә н е | қ и ы н | ө р м е л е у | б і р а қ | т и і с т і | т ү р д е | ш ы н ы қ қ а н | а д а м д а р д ы ң | к ө п ш і л і г і | о ғ а н | ш а м а м е н | 4 5 | м и н у т т а | ө р м е л е й | а л а д ы |	208320	MALE
552	18233442491128647091.wav	Дұрыс тамақтанудың өзі ғана спорттағы жетістіктерді кепілдендірмейді, бірақ бұл жас спортшылардың денсаулығына айтарлықтай әсер етуі мүмкін.	дұрыс тамақтанудың өзі ғана спорттағы жетістіктерді кепілдендірмейді бірақ бұл жас спортшылардың денсаулығына айтарлықтай әсер етуі мүмкін	д ұ р ы с | т а м а қ т а н у д ы ң | ө з і | ғ а н а | с п о р т т а ғ ы | ж е т і с т і к т е р д і | к е п і л д е н д і р м е й д і | б і р а қ | б ұ л | ж а с | с п о р т ш ы л а р д ы ң | д е н с а у л ы ғ ы н а | а й т а р л ы қ т а й | ә с е р | е т у і | м ү м к і н |	158400	MALE
135	6112050105573792982.wav	Қызыл судың көтерілуін Karenia brevis деп аталатын табиғи жалғыз жасушалы теңіз ағзасының қалыптыдан тыс концентрациясы тудырады.	қызыл судың көтерілуін karenia brevis деп аталатын табиғи жалғыз жасушалы теңіз ағзасының қалыптыдан тыс концентрациясы тудырады	қ ы з ы л | с у д ы ң | к ө т е р і л у і н | k a r e n i a | b r e v i s | д е п | а т а л а т ы н | т а б и ғ и | ж а л ғ ы з | ж а с у ш а л ы | т е ң і з | а ғ з а с ы н ы ң | қ а л ы п т ы д а н | т ы с | к о н ц е н т р а ц и я с ы | т у д ы р а д ы |	271680	FEMALE
1421	14356750378938093131.wav	1683 жылы Цинь династиясының (1644-1912) күштері Тайваньның батыс және солтүстік жағалаудағы аумақтарын бақылауына алды және 1885 жылы Тайваньды Цинь империясының провинциясы деп жариялады.	1683 жылы цинь династиясының 1644-1912 күштері тайваньның батыс және солтүстік жағалаудағы аумақтарын бақылауына алды және 1885 жылы тайваньды цинь империясының провинциясы деп жариялады	1 6 8 3 | ж ы л ы | ц и н ь | д и н а с т и я с ы н ы ң | 1 6 4 4 - 1 9 1 2 | к ү ш т е р і | т а й в а н ь н ы ң | б а т ы с | ж ә н е | с о л т ү с т і к | ж а ғ а л а у д а ғ ы | а у м а қ т а р ы н | б а қ ы л а у ы н а | а л д ы | ж ә н е | 1 8 8 5 | ж ы л ы | т а й в а н ь д ы | ц и н ь | и м п е р и я с ы н ы ң | п р о в и н ц и я с ы | д е п | ж а р и я л а д ы |	294720	MALE
1467	226041523857891776.wav	1884 жылы Тесла Нью-Йорктегі Edison Company компаниясындағы жұмысты қабылдау үшін Америка Құрама Штаттарына көшті.	1884 жылы тесла нью-йорктегі edison company компаниясындағы жұмысты қабылдау үшін америка құрама штаттарына көшті	1 8 8 4 | ж ы л ы | т е с л а | н ь ю - й о р к т е г і | e d i s o n | c o m p a n y | к о м п а н и я с ы н д а ғ ы | ж ұ м ы с т ы | қ а б ы л д а у | ү ш і н | а м е р и к а | қ ұ р а м а | ш т а т т а р ы н а | к ө ш т і |	159360	MALE
1466	13462286685748895106.wav	1980 жылдары ол "Taxi", "Cheers" және "The Tracey Ullman Show" сияқты шоуларда жұмыс істеді.	1980 жылдары ол taxi cheers және the tracey ullman show сияқты шоуларда жұмыс істеді	1 9 8 0 | ж ы л д а р ы | о л | t a x i | c h e e r s | ж ә н е | t h e | t r a c e y | u l l m a n | s h o w | с и я қ т ы | ш о у л а р д а | ж ұ м ы с | і с т е д і |	183360	FEMALE
388	12728924259748374970.wav	Басында ол Хангыль әліпбиін Хунмин Чоным деп атады, бұл «адамдарды оқытуға арналған дұрыс дыбыстар» дегенді білдіреді.	басында ол хангыль әліпбиін хунмин чоным деп атады бұл «адамдарды оқытуға арналған дұрыс дыбыстар» дегенді білдіреді	б а с ы н д а | о л | х а н г ы л ь | ә л і п б и і н | х у н м и н | ч о н ы м | д е п | а т а д ы | б ұ л | « а д а м д а р д ы | о қ ы т у ғ а | а р н а л ғ а н | д ұ р ы с | д ы б ы с т а р » | д е г е н д і | б і л д і р е д і |	157440	MALE
372	5580442633350685871.wav	Трицератопс жеуден бұрын жапырақтарды жұлып алу үшін күшті тұмсығын қолдана алатын болған.	трицератопс жеуден бұрын жапырақтарды жұлып алу үшін күшті тұмсығын қолдана алатын болған	т р и ц е р а т о п с | ж е у д е н | б ұ р ы н | ж а п ы р а қ т а р д ы | ж ұ л ы п | а л у | ү ш і н | к ү ш т і | т ұ м с ы ғ ы н | қ о л д а н а | а л а т ы н | б о л ғ а н |	163200	FEMALE
1289	2262660599525640602.wav	Акулалар бар, бірақ олар адамдарға сирек шабуылдайды. Көптеген акулалар адамдардан қорқады және жүзіп кетеді.	акулалар бар бірақ олар адамдарға сирек шабуылдайды көптеген акулалар адамдардан қорқады және жүзіп кетеді	а к у л а л а р | б а р | б і р а қ | о л а р | а д а м д а р ғ а | с и р е к | ш а б у ы л д а й д ы | к ө п т е г е н | а к у л а л а р | а д а м д а р д а н | қ о р қ а д ы | ж ә н е | ж ү з і п | к е т е д і |	247680	FEMALE
955	16430554217566167800.wav	2014 жылы Turkish Airlines 30 африкалық елдегі 39 жерге ұшады.	2014 жылы turkish airlines 30 африкалық елдегі 39 жерге ұшады	2 0 1 4 | ж ы л ы | t u r k i s h | a i r l i n e s | 3 0 | а ф р и к а л ы қ | е л д е г і | 3 9 | ж е р г е | ұ ш а д ы |	133440	MALE
607	3220597218984489595.wav	Уақытты мыңдаған жылдар бойы діндарлар, философтар және ғалымдар зерттеп келген.	уақытты мыңдаған жылдар бойы діндарлар философтар және ғалымдар зерттеп келген	у а қ ы т т ы | м ы ң д а ғ а н | ж ы л д а р | б о й ы | д і н д а р л а р | ф и л о с о ф т а р | ж ә н е | ғ а л ы м д а р | з е р т т е п | к е л г е н |	106560	MALE
142	8577911753209859103.wav	Сәрсенбі күні Америка Құрама Штаттарының Ұлттық баскетбол ассоциациясы (NBA) COVID-19 қаупіне байланысты кәсіби баскетбол маусымын уақытша тоқтатты.	сәрсенбі күні америка құрама штаттарының ұлттық баскетбол ассоциациясы nba covid-19 қаупіне байланысты кәсіби баскетбол маусымын уақытша тоқтатты	с ә р с е н б і | к ү н і | а м е р и к а | қ ұ р а м а | ш т а т т а р ы н ы ң | ұ л т т ы қ | б а с к е т б о л | а с с о ц и а ц и я с ы | n b a | c o v i d - 1 9 | қ а у п і н е | б а й л а н ы с т ы | к ә с і б и | б а с к е т б о л | м а у с ы м ы н | у а қ ы т ш а | т о қ т а т т ы |	193920	MALE
542	7444582656313423402.wav	Старктың адамдары Қоныс жерінің солтүстік шетіндегі қоршам бойындағы жерлерді алды.	старктың адамдары қоныс жерінің солтүстік шетіндегі қоршам бойындағы жерлерді алды	с т а р к т ы ң | а д а м д а р ы | қ о н ы с | ж е р і н і ң | с о л т ү с т і к | ш е т і н д е г і | қ о р ш а м | б о й ы н д а ғ ы | ж е р л е р д і | а л д ы |	151680	FEMALE
504	13275932031105409400.wav	MySpace - бұл АҚШ-та қолданылатын ең танымал веб-сайт, үшінші орында 54 миллион профиль бар.	myspace бұл ақш-та қолданылатын ең танымал веб-сайт үшінші орында 54 миллион профиль бар	m y s p a c e | б ұ л | а қ ш - т а | қ о л д а н ы л а т ы н | е ң | т а н ы м а л | в е б - с а й т | ү ш і н ш і | о р ы н д а | 5 4 | м и л л и о н | п р о ф и л ь | б а р |	136320	MALE
519	17243456631463150994.wav	Адам қолы аяқтан қысқарақ, фалангалары түзурек.	адам қолы аяқтан қысқарақ фалангалары түзурек	а д а м | қ о л ы | а я қ т а н | қ ы с қ а р а қ | ф а л а н г а л а р ы | т ү з у р е к |	142080	FEMALE
571	14642055264953186101.wav	Популяциядағы барлық тұлғалардың нақты фенотиптік ерекшелігі бірдей болса, бұл тұлғалар мономорфты ретінде белгілі.	популяциядағы барлық тұлғалардың нақты фенотиптік ерекшелігі бірдей болса бұл тұлғалар мономорфты ретінде белгілі	п о п у л я ц и я д а ғ ы | б а р л ы қ | т ұ л ғ а л а р д ы ң | н а қ т ы | ф е н о т и п т і к | е р е к ш е л і г і | б і р д е й | б о л с а | б ұ л | т ұ л ғ а л а р | м о н о м о р ф т ы | р е т і н д е | б е л г і л і |	146880	MALE
216	8684595921226877715.wav	Халықаралық олимпиада комитеті бүгінгі күндегі Берлиндегі эксклюзивті кеңес жиналысында спортты қосуға дауыс берді. Регби, атап айтқанда, регби одағы және гольф басқа бес спорт түрінің арасынан Олимпиада ойындарына қатысуға қарастыру үшін таңдалды.	халықаралық олимпиада комитеті бүгінгі күндегі берлиндегі эксклюзивті кеңес жиналысында спортты қосуға дауыс берді регби атап айтқанда регби одағы және гольф басқа бес спорт түрінің арасынан олимпиада ойындарына қатысуға қарастыру үшін таңдалды	х а л ы қ а р а л ы қ | о л и м п и а д а | к о м и т е т і | б ү г і н г і | к ү н д е г і | б е р л и н д е г і | э к с к л ю з и в т і | к е ң е с | ж и н а л ы с ы н д а | с п о р т т ы | қ о с у ғ а | д а у ы с | б е р д і | р е г б и | а т а п | а й т қ а н д а | р е г б и | о д а ғ ы | ж ә н е | г о л ь ф | б а с қ а | б е с | с п о р т | т ү р і н і ң | а р а с ы н а н | о л и м п и а д а | о й ы н д а р ы н а | қ а т ы с у ғ а | қ а р а с т ы р у | ү ш і н | т а ң д а л д ы |	487680	FEMALE
313	28237338751162169.wav	Буффало қаласында дүниеге келген 30 жастағы күйеуі атыс кезінде қаза тапқан төрт адамның бірі болды, бірақ оның әйелі ешқандай жарақат алмаған.	буффало қаласында дүниеге келген 30 жастағы күйеуі атыс кезінде қаза тапқан төрт адамның бірі болды бірақ оның әйелі ешқандай жарақат алмаған	б у ф ф а л о | қ а л а с ы н д а | д ү н и е г е | к е л г е н | 3 0 | ж а с т а ғ ы | к ү й е у і | а т ы с | к е з і н д е | қ а з а | т а п қ а н | т ө р т | а д а м н ы ң | б і р і | б о л д ы | б і р а қ | о н ы ң | ә й е л і | е ш қ а н д а й | ж а р а қ а т | а л м а ғ а н |	174720	MALE
1378	16503364919800003641.wav	Нейробиологиялық деректер таным түсінігін зерттеудің теориялық тәсілінің физикалық дәлелін береді. Сондықтан бұл зерттеу ауқымын азайтып, оның дәлдігін арттырады.	нейробиологиялық деректер таным түсінігін зерттеудің теориялық тәсілінің физикалық дәлелін береді сондықтан бұл зерттеу ауқымын азайтып оның дәлдігін арттырады	н е й р о б и о л о г и я л ы қ | д е р е к т е р | т а н ы м | т ү с і н і г і н | з е р т т е у д і ң | т е о р и я л ы қ | т ә с і л і н і ң | ф и з и к а л ы қ | д ә л е л і н | б е р е д і | с о н д ы қ т а н | б ұ л | з е р т т е у | а у қ ы м ы н | а з а й т ы п | о н ы ң | д ә л д і г і н | а р т т ы р а д ы |	269760	FEMALE
381	14200114276071212190.wav	Содан соң, бірнеше жылдан кейін 1639 жылы Йеремия Хоррокс атты ағылшын астрономы Шолпанның күн дискі арқылы өтуін бақылады.	содан соң бірнеше жылдан кейін 1639 жылы йеремия хоррокс атты ағылшын астрономы шолпанның күн дискі арқылы өтуін бақылады	с о д а н | с о ң | б і р н е ш е | ж ы л д а н | к е й і н | 1 6 3 9 | ж ы л ы | й е р е м и я | х о р р о к с | а т т ы | а ғ ы л ш ы н | а с т р о н о м ы | ш о л п а н н ы ң | к ү н | д и с к і | а р қ ы л ы | ө т у і н | б а қ ы л а д ы |	258240	FEMALE
785	15738979706044030692.wav	Көп экзотикалық жануарларды табу қиын, ал саябақтарда кейде коммерциялық мақсатта фотосуреттер түсіру туралы ережелер бар.	көп экзотикалық жануарларды табу қиын ал саябақтарда кейде коммерциялық мақсатта фотосуреттер түсіру туралы ережелер бар	к ө п | э к з о т и к а л ы қ | ж а н у а р л а р д ы | т а б у | қ и ы н | а л | с а я б а қ т а р д а | к е й д е | к о м м е р ц и я л ы қ | м а қ с а т т а | ф о т о с у р е т т е р | т ү с і р у | т у р а л ы | е р е ж е л е р | б а р |	146880	MALE
1482	9213353457788220374.wav	Дастин «Голдаст» Раннелс «Луна да мен сияқты дұрыс емес еді...мүмкін одан да көптеу...оны сүйіп, сағынамын...ол сенімді жерде деп үміттенемін» деп түсіндірді.	дастин «голдаст» раннелс «луна да мен сияқты дұрыс емес еді...мүмкін одан да көптеу...оны сүйіп сағынамын...ол сенімді жерде деп үміттенемін» деп түсіндірді	д а с т и н | « г о л д а с т » | р а н н е л с | « л у н а | д а | м е н | с и я қ т ы | д ұ р ы с | е м е с | е д і . . . м ү м к і н | о д а н | д а | к ө п т е у . . . о н ы | с ү й і п | с а ғ ы н а м ы н . . . о л | с е н і м д і | ж е р д е | д е п | ү м і т т е н е м і н » | д е п | т ү с і н д і р д і |	247680	MALE
1047	5646795256917589722.wav	Технологиялық детерминизм – тәжірибедегі идеялардың көп ауқымын қамтитын термин, технологиялық прогрестен немесе технологиялық императивтен адам тағдырын ғылыми заңдармен және олардың технологиядағы көрінуімен байланысты негізінде жатқан логика басқарады деген қатаң мағынаға дейін.	технологиялық детерминизм тәжірибедегі идеялардың көп ауқымын қамтитын термин технологиялық прогрестен немесе технологиялық императивтен адам тағдырын ғылыми заңдармен және олардың технологиядағы көрінуімен байланысты негізінде жатқан логика басқарады деген қатаң мағынаға дейін	т е х н о л о г и я л ы қ | д е т е р м и н и з м | т ә ж і р и б е д е г і | и д е я л а р д ы ң | к ө п | а у қ ы м ы н | қ а м т и т ы н | т е р м и н | т е х н о л о г и я л ы қ | п р о г р е с т е н | н е м е с е | т е х н о л о г и я л ы қ | и м п е р а т и в т е н | а д а м | т а ғ д ы р ы н | ғ ы л ы м и | з а ң д а р м е н | ж ә н е | о л а р д ы ң | т е х н о л о г и я д а ғ ы | к ө р і н у і м е н | б а й л а н ы с т ы | н е г і з і н д е | ж а т қ а н | л о г и к а | б а с қ а р а д ы | д е г е н | қ а т а ң | м а ғ ы н а ғ а | д е й і н |	403200	FEMALE
220	1814042385349384964.wav	2004 жылғы Олимпиада ойындарының күміс медалисті Амир Хан былай деді: «Әйелдер төбелеспеуі керек деп ойлаймын. Бұл менің пікірім».	2004 жылғы олимпиада ойындарының күміс медалисті амир хан былай деді: «әйелдер төбелеспеуі керек деп ойлаймын. бұл менің пікірім»	2 0 0 4 | ж ы л ғ ы | о л и м п и а д а | о й ы н д а р ы н ы ң | к ү м і с | м е д а л и с т і | а м и р | х а н | б ы л а й | д е д і : | « ә й е л д е р | т ө б е л е с п е у і | к е р е к | д е п | о й л а й м ы н . | б ұ л | м е н і ң | п і к і р і м » |	185280	MALE
1361	2916563622359101330.wav	Оны жіңішке сымға тартып, бұрап, өруге болады. Оны балғамен қағуға немесе парақтарға орауға болады.	оны жіңішке сымға тартып бұрап өруге болады оны балғамен қағуға немесе парақтарға орауға болады	о н ы | ж і ң і ш к е | с ы м ғ а | т а р т ы п | б ұ р а п | ө р у г е | б о л а д ы | о н ы | б а л ғ а м е н | қ а ғ у ғ а | н е м е с е | п а р а қ т а р ғ а | о р а у ғ а | б о л а д ы |	151680	MALE
849	7612027871140926143.wav	Австралияда ұсынылған көптеген бумерангтар шын мәнінде қйтып келмейтіндерге жатады. Үйренбеген адамдар үшін оны желді күнде лақтырмаған жөн.	австралияда ұсынылған көптеген бумерангтар шын мәнінде қйтып келмейтіндерге жатады үйренбеген адамдар үшін оны желді күнде лақтырмаған жөн	а в с т р а л и я д а | ұ с ы н ы л ғ а н | к ө п т е г е н | б у м е р а н г т а р | ш ы н | м ә н і н д е | қ й т ы п | к е л м е й т і н д е р г е | ж а т а д ы | ү й р е н б е г е н | а д а м д а р | ү ш і н | о н ы | ж е л д і | к ү н д е | л а қ т ы р м а ғ а н | ж ө н |	187200	MALE
274	2949568683087423025.wav	Егер тұмау белгілері жеңіл болып қалса, пациенттер күнделікті өмірінде басқа адамдарға жұқтыруды жалғастыруы мүмкін деген алаңдаушылық бар.	егер тұмау белгілері жеңіл болып қалса пациенттер күнделікті өмірінде басқа адамдарға жұқтыруды жалғастыруы мүмкін деген алаңдаушылық бар	е г е р | т ұ м а у | б е л г і л е р і | ж е ң і л | б о л ы п | қ а л с а | п а ц и е н т т е р | к ү н д е л і к т і | ө м і р і н д е | б а с қ а | а д а м д а р ғ а | ж ұ қ т ы р у д ы | ж а л ғ а с т ы р у ы | м ү м к і н | д е г е н | а л а ң д а у ш ы л ы қ | б а р |	222720	FEMALE
583	16384348196794276368.wav	Торнадолар ағаштарды тамырымен жұлып алады, ғимараттардағы тақталарды ұшырып әкетеді және көліктерді көкке ұшырады. Торнадолардың ең қатты екі пайызы үш сағаттан көбірекке созылады.	торнадолар ағаштарды тамырымен жұлып алады ғимараттардағы тақталарды ұшырып әкетеді және көліктерді көкке ұшырады торнадолардың ең қатты екі пайызы үш сағаттан көбірекке созылады	т о р н а д о л а р | а ғ а ш т а р д ы | т а м ы р ы м е н | ж ұ л ы п | а л а д ы | ғ и м а р а т т а р д а ғ ы | т а қ т а л а р д ы | ұ ш ы р ы п | ә к е т е д і | ж ә н е | к ө л і к т е р д і | к ө к к е | ұ ш ы р а д ы | т о р н а д о л а р д ы ң | е ң | қ а т т ы | е к і | п а й ы з ы | ү ш | с а ғ а т т а н | к ө б і р е к к е | с о з ы л а д ы |	232320	MALE
37	14576568742390844586.wav	Мұнда ортасында транспорттық орталығы мен ескерткіш саяжайы бар бес жаңа көп қабатты ғимарат салынуда.	мұнда ортасында транспорттық орталығы мен ескерткіш саяжайы бар бес жаңа көп қабатты ғимарат салынуда	м ұ н д а | о р т а с ы н д а | т р а н с п о р т т ы қ | о р т а л ы ғ ы | м е н | е с к е р т к і ш | с а я ж а й ы | б а р | б е с | ж а ң а | к ө п | қ а б а т т ы | ғ и м а р а т | с а л ы н у д а |	187200	FEMALE
1078	9666091971716247207.wav	Ауру Үндістан үкіметін қатты зардап шеккен аудандарға шошқа етін орналастыру, мыңдаған москит перделерін тарату және пестицидтерді бүрку сияқты шаралар қабылдауға итермеледі.	ауру үндістан үкіметін қатты зардап шеккен аудандарға шошқа етін орналастыру мыңдаған москит перделерін тарату және пестицидтерді бүрку сияқты шаралар қабылдауға итермеледі	а у р у | ү н д і с т а н | ү к і м е т і н | қ а т т ы | з а р д а п | ш е к к е н | а у д а н д а р ғ а | ш о ш қ а | е т і н | о р н а л а с т ы р у | м ы ң д а ғ а н | м о с к и т | п е р д е л е р і н | т а р а т у | ж ә н е | п е с т и ц и д т е р д і | б ү р к у | с и я қ т ы | ш а р а л а р | қ а б ы л д а у ғ а | и т е р м е л е д і |	245760	FEMALE
363	16540546482063857436.wav	Жүздеген сағат бойы жұмыс істегеннен кейін электр шамының қыздыру талшығы күйіп кетеді және электр шамы бұдан былай жұмыс істемей қалады.	жүздеген сағат бойы жұмыс істегеннен кейін электр шамының қыздыру талшығы күйіп кетеді және электр шамы бұдан былай жұмыс істемей қалады	ж ү з д е г е н | с а ғ а т | б о й ы | ж ұ м ы с | і с т е г е н н е н | к е й і н | э л е к т р | ш а м ы н ы ң | қ ы з д ы р у | т а л ш ы ғ ы | к ү й і п | к е т е д і | ж ә н е | э л е к т р | ш а м ы | б ұ д а н | б ы л а й | ж ұ м ы с | і с т е м е й | қ а л а д ы |	249600	FEMALE
